#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.88694     1.88694           0
           2     1.85328     1.87011   0.0119002
           3       1.807     1.84907   0.0189202
           4     1.84125     1.84712   0.0142907
           5     1.86681     1.85106   0.0119632
           6     1.85295     1.85137  0.00997348
           7     1.85137     1.85137   0.0085487
           8     1.83141     1.84888  0.00783569
           9       1.863     1.85044  0.00712046
          10     1.89468     1.85487  0.00766039
          11     1.90907      1.8598  0.00840056
          12     1.86466      1.8602  0.00771028
          13     1.87851     1.86161  0.00724463
          14     1.84535     1.86045  0.00681965
          15     1.82458     1.85806  0.00677131
          16     1.84418     1.85719  0.00640341
          17     1.81216     1.85454  0.00655177
          18     1.81105     1.85212  0.00661823
          19     1.85614     1.85234  0.00627327
          20     1.81033     1.85024  0.00630138
          21     1.83092     1.84932  0.00606809
          22      1.8251     1.84822  0.00589123
          23     1.80109     1.84617  0.00598078
          24     1.78087     1.84345   0.0063202
          25     1.81866     1.84245  0.00614469
          26     1.84076     1.84239   0.0059087
          27     1.83398     1.84208  0.00569807
          28     1.85372     1.84249  0.00550972
          29     1.85652     1.84298  0.00534091
          30     1.91647     1.84543  0.00569711
          31     1.95428     1.84894  0.00650612
          32     1.88148     1.84995  0.00638179
          33     1.84316     1.84975  0.00619173
          34     1.85927     1.85003  0.00601595
          35     1.84652     1.84993   0.0058449
          36      1.8409     1.84968  0.00568792
          37     1.87618     1.85039  0.00557912
          38     1.83232     1.84992  0.00545254
          39     1.82756     1.84935   0.0053428
          40     1.80285     1.84818  0.00533418
          41     1.81527     1.84738  0.00526413
          42     1.79158     1.84605  0.00530381
          43     1.81911     1.84543  0.00521733
          44     1.79521     1.84428  0.00522209
          45     1.83322     1.84404  0.00511182
          46      1.7972     1.84302  0.00510109
          47     1.82086     1.84255   0.0050143
          48     1.82158     1.84211  0.00492884
          49     1.84034     1.84208  0.00482838
          50     1.84952     1.84222  0.00473411
