#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0501817   0.0501817           0
           2   0.0547176   0.0524496  0.00160369
           3   0.0498405   0.0515799  0.00128347
           4   0.0510878   0.0514569 0.000968482
           5   0.0509513   0.0513558 0.000780046
           6   0.0515561   0.0513892 0.000650752
           7   0.0537403    0.051725  0.00063861
           8    0.049806   0.0514852 0.000602154
           9   0.0513635   0.0514716   0.0005354
          10   0.0500456    0.051329 0.000500491
          11   0.0530088   0.0514817 0.000477721
          12   0.0542368   0.0517113 0.000489985
          13   0.0531527   0.0518222 0.000464669
          14   0.0487021   0.0515993 0.000481969
          15   0.0497943    0.051479 0.000464618
          16   0.0517431   0.0514955 0.000435872
          17   0.0469128   0.0512259 0.000486503
          18   0.0500574    0.051161 0.000463786
          19    0.047703    0.050979 0.000473743
          20   0.0512713   0.0509936 0.000450282
          21   0.0514643    0.051016 0.000429397
          22   0.0534271   0.0511256 0.000423634
          23    0.051188   0.0511283 0.000405224
          24   0.0504419   0.0510997 0.000389348
          25   0.0514988   0.0511157 0.000374101
          26   0.0517649   0.0511407 0.000360545
          27    0.049957   0.0510968 0.000349846
          28   0.0535905   0.0511859 0.000348503
          29   0.0503837   0.0511582 0.000337582
          30   0.0508682   0.0511486 0.000326468
          31   0.0495125   0.0510958 0.000320174
          32   0.0501295   0.0510656 0.000311589
          33   0.0523117   0.0511034 0.000304427
          34   0.0493086   0.0510506 0.000300015
          35   0.0472557   0.0509421 0.000310418
          36   0.0517909   0.0509657 0.000302689
          37   0.0519219   0.0509916 0.000295609
          38   0.0480536   0.0509142 0.000297769
          39   0.0507281   0.0509095 0.000290172
          40   0.0479186   0.0508347 0.000292393
          41   0.0527154   0.0508806 0.000288837
          42   0.0485921   0.0508261 0.000287053
          43   0.0506425   0.0508218 0.000280409
          44   0.0478076   0.0507533  0.00028228
          45   0.0507904   0.0507541 0.000276008
          46   0.0546965   0.0508398 0.000283001
          47   0.0486389    0.050793 0.000280828
          48   0.0507297   0.0507917  0.00027498
          49   0.0528709   0.0508341 0.000272623
          50   0.0457249   0.0507319  0.00028568
