#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.464764   -0.464764           0
           2   -0.431031   -0.447897   0.0119263
           3   -0.384697   -0.426831   0.0189496
           4   -0.418911   -0.424851   0.0143153
           5   -0.444414   -0.428764    0.011975
           6   -0.430651   -0.429078  0.00998329
           7   -0.429097   -0.429081  0.00855711
           8   -0.409105   -0.426584  0.00784333
           9   -0.440792   -0.428163  0.00712896
          10   -0.472464   -0.432593  0.00767003
          11   -0.486722   -0.437514  0.00840431
          12   -0.442274    -0.43791  0.00771331
          13   -0.456156   -0.439314  0.00724654
          14   -0.423088   -0.438155  0.00682098
          15   -0.402184   -0.435757  0.00677469
          16   -0.421856   -0.434888  0.00640673
          17   -0.389814   -0.432237  0.00655559
          18   -0.388822   -0.429825  0.00662023
          19   -0.433786   -0.430033  0.00627507
          20   -0.387978    -0.42793  0.00630379
          21   -0.408562   -0.427008  0.00607071
          22   -0.402747   -0.425905  0.00589408
          23   -0.378724   -0.423854  0.00598415
          24   -0.358498   -0.421131  0.00632414
          25   -0.396362    -0.42014  0.00614829
          26   -0.418387   -0.420073  0.00591219
          27   -0.411601   -0.419759  0.00570154
          28   -0.431349   -0.420173  0.00551292
          29   -0.434241   -0.420658  0.00534412
          30    -0.49435   -0.423114  0.00570265
          31   -0.531998   -0.426627  0.00651112
          32   -0.459116   -0.427642  0.00638631
          33   -0.420848   -0.427436  0.00619611
          34   -0.436991   -0.427717  0.00602024
          35   -0.424396   -0.427622  0.00584898
          36   -0.418842   -0.427378  0.00569159
          37   -0.453975   -0.428097  0.00558297
          38   -0.410079   -0.427623  0.00545615
          39   -0.405304   -0.427051  0.00534618
          40   -0.380506   -0.425887  0.00533765
          41   -0.392773    -0.42508  0.00526822
          42   -0.369227    -0.42375  0.00530797
          43   -0.396693    -0.42312  0.00522169
          44   -0.372802   -0.421977  0.00522675
          45   -0.410874    -0.42173  0.00511642
          46   -0.374842   -0.420711  0.00510572
          47   -0.398543   -0.420239  0.00501882
          48   -0.399249   -0.419802  0.00493328
          49   -0.418059   -0.419766  0.00483273
          50   -0.427127   -0.419914  0.00473831
