#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.25796     1.25796           0
           2     1.23552     1.24674   0.0079335
           3     1.20466     1.23271   0.0126134
           4      1.2275     1.23141  0.00952712
           5     1.24454     1.23404  0.00797547
           6      1.2353     1.23425  0.00664899
           7     1.23425     1.23425  0.00569913
           8     1.22094     1.23258   0.0052238
           9       1.242     1.23363  0.00474697
          10     1.26312     1.23658  0.00510692
          11     1.27271     1.23986  0.00560037
          12     1.24311     1.24013  0.00514019
          13     1.25234     1.24107  0.00482975
          14     1.23023      1.2403  0.00454643
          15     1.21639      1.2387  0.00451421
          16     1.22945     1.23813  0.00426894
          17      1.2081     1.23636  0.00436785
          18     1.20737     1.23475  0.00441215
          19     1.23743     1.23489  0.00418218
          20     1.20689     1.23349  0.00420092
          21     1.22061     1.23288   0.0040454
          22     1.21674     1.23214  0.00392749
          23     1.20073     1.23078  0.00398719
          24     1.18725     1.22896  0.00421347
          25     1.21244      1.2283  0.00409646
          26     1.22717     1.22826  0.00393913
          27     1.22265     1.22805  0.00379871
          28     1.23581     1.22833  0.00367315
          29     1.23768     1.22865  0.00356061
          30     1.27765     1.23028  0.00379807
          31     1.30286     1.23263  0.00433741
          32     1.25432      1.2333  0.00425453
          33     1.22877     1.23317  0.00412782
          34     1.23951     1.23335  0.00401063
          35     1.23101     1.23329   0.0038966
          36     1.22727     1.23312  0.00379194
          37     1.25079      1.2336  0.00371941
          38     1.22155     1.23328  0.00363503
          39     1.21837      1.2329  0.00356187
          40      1.2019     1.23212  0.00355612
          41     1.21018     1.23159  0.00350942
          42     1.19439      1.2307  0.00353587
          43     1.21274     1.23028  0.00347822
          44     1.19681     1.22952  0.00348139
          45     1.22215     1.22936  0.00340788
          46     1.19813     1.22868  0.00340073
          47      1.2139     1.22837  0.00334287
          48     1.21438     1.22807  0.00328589
          49      1.2269     1.22805  0.00321892
          50     1.23302     1.22815  0.00315607
