#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.42217     1.42217           0
           2     1.42225     1.42221 2.61005e-05
           3      1.4223     1.42224 2.99711e-05
           4     1.42234     1.42227 3.16223e-05
           5      1.4224     1.42229 3.47939e-05
           6     1.42229     1.42229 2.89962e-05
           7     1.42227     1.42229 2.49968e-05
           8     1.42231     1.42229 2.19668e-05
           9     1.42221     1.42228 2.14811e-05
          10     1.42222     1.42228   2.022e-05
          11     1.42235     1.42228 1.94339e-05
          12     1.42238     1.42229 1.95965e-05
          13     1.42235      1.4223 1.86327e-05
          14     1.42226     1.42229 1.74892e-05
          15     1.42239      1.4223 1.75588e-05
          16     1.42232      1.4223 1.65223e-05
          17     1.42234      1.4223 1.57349e-05
          18     1.42223      1.4223 1.53587e-05
          19     1.42236      1.4223 1.48306e-05
          20     1.42235     1.42231 1.42987e-05
          21     1.42236     1.42231 1.38134e-05
          22     1.42236     1.42231 1.33593e-05
          23     1.42237     1.42231 1.30034e-05
          24     1.42237     1.42231 1.26923e-05
          25     1.42229     1.42231 1.22137e-05
          26     1.42237     1.42232 1.19266e-05
          27     1.42238     1.42232 1.16915e-05
          28     1.42237     1.42232 1.14341e-05
          29     1.42228     1.42232 1.11409e-05
          30     1.42212     1.42231 1.25546e-05
          31     1.42229     1.42231 1.21795e-05
          32     1.42237     1.42231  1.1917e-05
          33     1.42231     1.42231  1.1556e-05
          34     1.42228     1.42231  1.1264e-05
          35     1.42212     1.42231 1.21711e-05
          36     1.42206      1.4223 1.36298e-05
          37     1.42221      1.4223 1.34751e-05
          38     1.42224      1.4223 1.32078e-05
          39     1.42225     1.42229 1.29163e-05
          40     1.42234      1.4223  1.2651e-05
          41      1.4225      1.4223 1.32825e-05
          42     1.42235      1.4223 1.30205e-05
          43     1.42242      1.4223 1.30064e-05
          44     1.42241     1.42231 1.29182e-05
          45     1.42235     1.42231 1.26597e-05
          46     1.42236     1.42231 1.24363e-05
          47     1.42231     1.42231 1.21719e-05
          48     1.42233     1.42231 1.19248e-05
          49     1.42228     1.42231  1.1692e-05
          50      1.4224     1.42231 1.15872e-05
