#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.66088     1.66088           0
           2     1.67605     1.66846  0.00536192
           3     1.65341     1.66345  0.00543632
           4     1.68114     1.66787  0.00559419
           5      1.6557     1.66544  0.00497642
           6     1.65584     1.66384  0.00439651
           7     1.66035     1.66334  0.00379652
           8     1.63795     1.66017  0.00445543
           9     1.64791      1.6588  0.00416324
          10       1.641     1.65702  0.00410985
          11     1.64287     1.65574  0.00393258
          12     1.63192     1.65375  0.00407494
          13     1.68051     1.65581  0.00424954
          14     1.67276     1.65702  0.00411479
          15      1.6719     1.65801  0.00395827
          16     1.64636     1.65729  0.00377725
          17     1.62911     1.65563  0.00390165
          18     1.66582     1.65619  0.00372575
          19     1.63326     1.65499  0.00372005
          20     1.62375     1.65343  0.00384803
          21     1.64249      1.6529  0.00369983
          22     1.66063     1.65326   0.0035483
          23     1.65833     1.65348  0.00340087
          24     1.61655     1.65194  0.00359033
          25     1.65621     1.65211  0.00345077
          26     1.62673     1.65113  0.00345334
          27     1.67081     1.65186  0.00340149
          28     1.65652     1.65203  0.00328407
          29     1.64602     1.65182  0.00317735
          30     1.67961     1.65275  0.00320362
          31     1.65311     1.65276   0.0031003
          32     1.65292     1.65276  0.00300342
          33     1.66261     1.65306  0.00292719
          34     1.63499     1.65253  0.00288895
          35     1.62468     1.65173  0.00291397
          36     1.66274     1.65204  0.00284901
          37      1.6399     1.65171  0.00279084
          38     1.66081     1.65195  0.00272764
          39     1.64804     1.65185  0.00265954
          40      1.6224     1.65112  0.00269302
          41     1.64588     1.65099  0.00263036
          42     1.62825     1.65045  0.00262286
          43     1.66546      1.6508  0.00258501
          44     1.64045     1.65056  0.00253693
          45       1.613     1.64973  0.00261424
          46     1.65162     1.64977  0.00255773
          47     1.61511     1.64903  0.00260744
          48     1.69641     1.65002  0.00273356
          49     1.65228     1.65006  0.00267817
          50     1.64547     1.64997  0.00262618
