#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.02418    -5.02418           0
           2     -5.0391    -5.03164  0.00527378
           3    -5.01794    -5.02707  0.00512543
           4    -5.04539    -5.03165  0.00552276
           5    -5.01985    -5.02929  0.00489689
           6    -5.01965    -5.02768  0.00433637
           7    -5.02397    -5.02715  0.00374912
           8    -5.00205    -5.02402  0.00440234
           9    -5.01026    -5.02249  0.00417021
          10    -5.00432    -5.02067  0.00413003
          11     -5.0088    -5.01959  0.00389289
          12     -4.9971    -5.01772  0.00399418
          13    -5.04466    -5.01979  0.00419019
          14    -5.03656    -5.02099  0.00405843
          15    -5.03616      -5.022  0.00391197
          16    -5.00994    -5.02125  0.00373932
          17    -4.99236    -5.01955  0.00388627
          18    -5.02887    -5.02006  0.00370471
          19    -4.99507    -5.01875  0.00373607
          20    -4.98658    -5.01714  0.00388013
          21    -5.00641    -5.01663  0.00372886
          22    -5.02262     -5.0169  0.00356929
          23    -5.02281    -5.01716  0.00342335
          24     -4.9788    -5.01556  0.00363466
          25    -5.02049    -5.01576  0.00349462
          26     -4.9875    -5.01467  0.00352517
          27    -5.03574    -5.01545  0.00347989
          28    -5.02051    -5.01563   0.0033603
          29    -5.01009    -5.01544  0.00324986
          30    -5.04365    -5.01638  0.00327478
          31    -5.01598    -5.01637  0.00316917
          32    -5.01624    -5.01636  0.00307013
          33    -5.02755     -5.0167  0.00299576
          34    -4.99748    -5.01614   0.0029605
          35    -4.98784    -5.01533   0.0029843
          36    -5.02619    -5.01563  0.00291661
          37     -5.0025    -5.01528   0.0028593
          38    -5.02313    -5.01548   0.0027915
          39    -5.01097    -5.01537  0.00272233
          40     -4.9852    -5.01461  0.00275673
          41    -5.00777    -5.01445  0.00269454
          42    -4.99065    -5.01388  0.00268928
          43    -5.02823    -5.01421  0.00264738
          44    -5.00396    -5.01398  0.00259744
          45    -4.97789    -5.01318  0.00266065
          46    -5.01736    -5.01327  0.00260437
          47    -4.97797    -5.01252  0.00265503
          48    -5.06142    -5.01354  0.00278836
          49    -5.01551    -5.01358  0.00273174
          50    -5.01033    -5.01351  0.00267788
