#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     2.20512     2.20512           0
           2     2.14699     2.17605   0.0205532
           3     2.21473     2.18894   0.0172786
           4     2.09944     2.16657   0.0233127
           5     2.13935     2.16112   0.0192752
           6     2.14781     2.15891   0.0161898
           7     2.15836     2.15883   0.0138772
           8     2.22719     2.16737   0.0145371
           9     2.31627     2.18392   0.0202551
          10     2.22317     2.18784   0.0186062
          11     2.20968     2.18983   0.0170203
          12     2.28508     2.19777   0.0173543
          13     1.97602     2.18071    0.022917
          14     2.04877     2.17128   0.0231369
          15     2.08364     2.16544   0.0223199
          16     2.15049     2.16451   0.0209445
          17     2.25061     2.16957   0.0203157
          18     2.23552     2.17324   0.0195146
          19     2.23809     2.17665   0.0187836
          20     2.26084     2.18086     0.01831
          21     2.19725     2.18164   0.0174548
          22     2.15306     2.18034   0.0167096
          23     2.11112     2.17733   0.0162519
          24     2.23626     2.17979   0.0157591
          25     2.16337     2.17913   0.0151424
          26     2.36953     2.18645   0.0162345
          27     2.05536      2.1816   0.0163432
          28     2.16948     2.18116   0.0157652
          29     2.18097     2.18116   0.0152216
          30     2.08011     2.17779   0.0150823
          31     2.28253     2.18117   0.0149694
          32     2.26377     2.18375   0.0147225
          33     2.12263      2.1819   0.0143924
          34     2.24297     2.18369   0.0140807
          35     2.22632     2.18491    0.013731
          36     2.27258     2.18735   0.0135638
          37     2.25106     2.18907   0.0133061
          38       2.224     2.18999   0.0129876
          39     2.19444      2.1901   0.0126551
          40     2.28347     2.19244   0.0125522
          41      2.2697     2.19432   0.0123867
          42     2.29607     2.19674   0.0123264
          43     2.07805     2.19398   0.0123449
          44     2.24615     2.19517   0.0121212
          45     2.34905     2.19859   0.0123247
          46     2.15042     2.19754   0.0121012
          47     2.38163     2.20146   0.0124615
          48     1.97012     2.19664   0.0131008
          49     2.24526     2.19763    0.012871
          50     2.13671     2.19641   0.0126711
