#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.10725     1.10725           0
           2     1.11736     1.11231  0.00357461
           3     1.10228     1.10896  0.00362421
           4     1.12076     1.11191  0.00372946
           5      1.1038     1.11029  0.00331761
           6     1.10389     1.10923  0.00293101
           7      1.1069     1.10889  0.00253101
           8     1.09196     1.10678  0.00297029
           9     1.09861     1.10587   0.0027755
          10       1.094     1.10468   0.0027399
          11     1.09524     1.10382  0.00262172
          12     1.08795      1.1025  0.00271663
          13     1.12034     1.10387  0.00283303
          14     1.11517     1.10468  0.00274319
          15      1.1146     1.10534  0.00263884
          16     1.09758     1.10486  0.00251817
          17     1.08608     1.10375   0.0026011
          18     1.11055     1.10413  0.00248383
          19     1.08884     1.10332  0.00248003
          20      1.0825     1.10228  0.00256535
          21       1.095     1.10194  0.00246655
          22     1.10709     1.10217  0.00236553
          23     1.10555     1.10232  0.00226724
          24      1.0777     1.10129  0.00239355
          25     1.10414     1.10141  0.00230051
          26     1.08449     1.10076  0.00230222
          27     1.11388     1.10124  0.00226766
          28     1.10435     1.10135  0.00218938
          29     1.09735     1.10121  0.00211823
          30     1.11974     1.10183  0.00213574
          31     1.10207     1.10184  0.00206686
          32     1.10194     1.10184  0.00200228
          33     1.10841     1.10204  0.00195146
          34     1.08999     1.10169  0.00192597
          35     1.08312     1.10116  0.00194265
          36     1.10849     1.10136  0.00189934
          37     1.09327     1.10114  0.00186056
          38     1.10721      1.1013  0.00181843
          39     1.09869     1.10123  0.00177303
          40      1.0816     1.10074  0.00179535
          41     1.09725     1.10066  0.00175358
          42      1.0855      1.1003  0.00174857
          43     1.11031     1.10053  0.00172334
          44     1.09363     1.10037  0.00169129
          45     1.07534     1.09982  0.00174282
          46     1.10108     1.09984  0.00170515
          47     1.07674     1.09935   0.0017383
          48     1.13094     1.10001  0.00182238
          49     1.10152     1.10004  0.00178545
          50     1.09698     1.09998  0.00175079
