#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -3.3633     -3.3633           0
           2    -3.36305    -3.36318 8.81433e-05
           3    -3.36452    -3.36363  0.00037105
           4    -3.36425    -3.36378 0.000309336
           5    -3.36414    -3.36385 0.000255763
           6    -3.36381    -3.36385 0.000213246
           7    -3.36362    -3.36381 0.000185179
           8     -3.3641    -3.36385 0.000165414
           9    -3.36234    -3.36368 0.000215575
          10    -3.36331    -3.36365 0.000197145
          11    -3.36594    -3.36385 0.000267559
          12    -3.36518    -3.36396 0.000267087
          13    -3.36415    -3.36398 0.000246922
          14     -3.3638    -3.36397 0.000229618
          15    -3.36426    -3.36399 0.000215154
          16    -3.36358    -3.36396 0.000203187
          17    -3.36325    -3.36392 0.000195533
          18    -3.36305    -3.36387 0.000190545
          19     -3.3618    -3.36376 0.000209236
          20    -3.36283    -3.36371 0.000203887
          21    -3.36391    -3.36372   0.0001944
          22    -3.36198    -3.36365 0.000201016
          23    -3.36449    -3.36368 0.000195588
          24    -3.36225    -3.36362 0.000196333
          25    -3.36428    -3.36365 0.000190247
          26    -3.36077    -3.36354 0.000212746
          27    -3.36493    -3.36359 0.000210989
          28    -3.36399     -3.3636 0.000203939
          29    -3.36406    -3.36362 0.000197526
          30    -3.36404    -3.36363 0.000191447
          31    -3.36287    -3.36361 0.000186866
          32    -3.36333     -3.3636 0.000181233
          33    -3.36494    -3.36364 0.000180255
          34    -3.36249    -3.36361 0.000178079
          35    -3.36316    -3.36359 0.000173445
          36    -3.36345    -3.36359 0.000168672
          37     -3.3626    -3.36356 0.000166234
          38    -3.36232    -3.36353 0.000165065
          39    -3.36293    -3.36352 0.000161559
          40     -3.3628     -3.3635 0.000158509
          41    -3.36189    -3.36346 0.000159407
          42     -3.3624    -3.36343 0.000157584
          43    -3.36277    -3.36342 0.000154673
          44    -3.36351    -3.36342 0.000151173
          45    -3.36489    -3.36345 0.000151292
          46    -3.36574     -3.3635 0.000155963
          47    -3.36286    -3.36349 0.000153237
          48    -3.36501    -3.36352 0.000153308
          49    -3.36323    -3.36351 0.000150295
          50    -3.36486    -3.36354 0.000149686
