#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.20738     1.20738           0
           2     1.20802      1.2077 0.000226636
           3     1.20869     1.20803 0.000307967
           4     1.20211     1.20655  0.00130156
           5     1.20505     1.20625  0.00107535
           6     1.21122     1.20708  0.00117227
           7     1.20855     1.20729  0.00102344
           8     1.20713     1.20727 0.000895706
           9     1.20931      1.2075 0.000824323
          10     1.20907     1.20765 0.000756698
          11     1.20886     1.20776 0.000695792
          12     1.20829     1.20781 0.000639191
          13     1.20752     1.20778 0.000590399
          14     1.20728     1.20775 0.000549333
          15     1.20609     1.20764   0.0005237
          16     1.20979     1.20777  0.00050797
          17     1.20437     1.20757 0.000516089
          18     1.20844     1.20762 0.000489676
          19     1.21351     1.20793 0.000553377
          20     1.19932      1.2075  0.00067278
          21     1.20176     1.20723 0.000693996
          22     1.20955     1.20733 0.000670471
          23     1.20396     1.20719 0.000657198
          24     1.20471     1.20708 0.000637837
          25     1.21412     1.20736 0.000671641
          26     1.20961     1.20745 0.000651343
          27     1.20476     1.20735 0.000634783
          28     1.20846     1.20739  0.00061334
          29     1.20593     1.20734  0.00059424
          30     1.20202     1.20716 0.000600295
          31     1.21016     1.20726 0.000588662
          32     1.20728     1.20726 0.000570267
          33     1.20126     1.20708 0.000581216
          34      1.2061     1.20705 0.000564835
          35     1.20734     1.20706 0.000548758
          36     1.21352     1.20724 0.000562096
          37     1.20246     1.20711 0.000561566
          38     1.20846     1.20714 0.000547915
          39     1.20383     1.20706  0.00054041
          40     1.20432     1.20699 0.000531231
          41     1.20652     1.20698 0.000518399
          42     1.21442     1.20716 0.000535483
          43     1.20416     1.20709 0.000527536
          44     1.20752      1.2071 0.000515638
          45     1.20239     1.20699 0.000514665
          46     1.20681     1.20699 0.000503491
          47     1.20832     1.20702 0.000493574
          48     1.20795     1.20704 0.000483673
          49     1.20414     1.20698 0.000477396
          50     1.20896     1.20702 0.000469501
