#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.65339    -6.65339           0
           2    -6.65408    -6.65374 0.000244636
           3    -6.65652    -6.65466 0.000774694
           4      -6.649    -6.65325  0.00135627
           5    -6.65205    -6.65301  0.00110593
           6     -6.6584    -6.65391  0.00123335
           7    -6.65583    -6.65418  0.00108723
           8      -6.654    -6.65416 0.000951571
           9     -6.6566    -6.65443 0.000883757
          10    -6.65554    -6.65454 0.000802355
          11    -6.65622    -6.65469 0.000743821
          12    -6.65401    -6.65464 0.000684002
          13    -6.65471    -6.65464 0.000631413
          14    -6.65483    -6.65466 0.000586457
          15     -6.6532    -6.65456 0.000555356
          16    -6.65621    -6.65466 0.000530184
          17    -6.65245    -6.65453 0.000514766
          18    -6.65645    -6.65464 0.000497031
          19    -6.66097    -6.65497 0.000571918
          20    -6.64513    -6.65448 0.000724878
          21    -6.64929    -6.65423 0.000731226
          22    -6.65686    -6.65435 0.000707647
          23    -6.65157    -6.65423 0.000687117
          24     -6.6515    -6.65412 0.000667873
          25    -6.66116     -6.6544 0.000698005
          26    -6.65597    -6.65446 0.000673783
          27    -6.65288     -6.6544 0.000651347
          28    -6.65507    -6.65442 0.000628525
          29     -6.6533    -6.65439 0.000608055
          30    -6.64839    -6.65419 0.000619763
          31    -6.65674    -6.65427 0.000605215
          32    -6.65496    -6.65429 0.000586687
          33    -6.64797     -6.6541 0.000599308
          34    -6.65291    -6.65406 0.000582697
          35    -6.65492    -6.65409 0.000566563
          36    -6.66143    -6.65429 0.000586417
          37    -6.64828    -6.65413 0.000592664
          38    -6.65557    -6.65417 0.000578282
          39    -6.65102    -6.65409 0.000569071
          40    -6.65186    -6.65403 0.000557553
          41    -6.65393    -6.65403 0.000543959
          42    -6.66235    -6.65423 0.000565932
          43    -6.65136    -6.65416 0.000556681
          44    -6.65433    -6.65416 0.000544043
          45     -6.6494    -6.65406 0.000542172
          46    -6.65422    -6.65406 0.000530397
          47    -6.65585     -6.6541 0.000520471
          48    -6.65473    -6.65411 0.000509792
          49    -6.65126    -6.65405 0.000502699
          50    -6.65616     -6.6541 0.000494401
