#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     9.64606     9.64606           0
           2     9.66026     9.65316  0.00502098
           3     9.66848     9.65827  0.00534675
           4     9.67418     9.66225  0.00528748
           5     9.65286     9.66037  0.00455086
           6      9.6522     9.65901  0.00399074
           7     9.64407     9.65688  0.00395005
           8     9.64996     9.65601  0.00354968
           9     9.63574     9.65376  0.00380351
          10     9.62051     9.65043  0.00465507
          11     9.66059     9.65136  0.00432246
          12        9.64     9.65041  0.00406461
          13      9.6668     9.65167  0.00394274
          14     9.64382     9.65111  0.00370077
          15     9.66487     9.65203  0.00356595
          16      9.6519     9.65202  0.00334309
          17     9.67955     9.65364  0.00351687
          18     9.63737     9.65273  0.00343569
          19     9.63822     9.65197  0.00333874
          20     9.69582     9.65416  0.00382446
          21     9.67341     9.65508  0.00375055
          22     9.63301     9.65408  0.00371178
          23     9.66253     9.65444  0.00356856
          24     9.65425     9.65444  0.00341988
          25     9.63056     9.65348  0.00341378
          26     9.67065     9.65414  0.00334577
          27     9.66984     9.65472  0.00327196
          28     9.65915     9.65488  0.00315892
          29     9.66429     9.65521   0.0030666
          30     9.69247     9.65645  0.00320608
          31     9.65218     9.65631  0.00310561
          32     9.64693     9.65602  0.00302236
          33     9.68171      9.6568  0.00302939
          34     9.64928     9.65657  0.00294833
          35     9.65124     9.65642  0.00286803
          36     9.64302     9.65605  0.00281242
          37     9.68342     9.65679  0.00283205
          38     9.65514     9.65675  0.00275785
          39     9.65757     9.65677  0.00268722
          40     9.67622     9.65725  0.00266369
          41     9.67551      9.6577  0.00263568
          42     9.63124     9.65707  0.00264715
          43     9.66618     9.65728  0.00259406
          44     9.67008     9.65757  0.00255135
          45     9.68362     9.65815  0.00255947
          46     9.64604     9.65789  0.00251733
          47     9.64748     9.65767  0.00247349
          48     9.65781     9.65767  0.00242196
          49      9.6733     9.65799  0.00239344
          50     9.65836       9.658  0.00234559
