#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.804921    0.804921           0
           2    0.805349    0.805135 0.000151091
           3    0.805792    0.805354 0.000205311
           4     0.80141    0.804368 0.000867709
           5    0.803367    0.804168 0.000716901
           6    0.807479     0.80472 0.000781512
           7      0.8057     0.80486 0.000682293
           8    0.804753    0.804846 0.000597137
           9    0.806205    0.804997 0.000549549
          10    0.806044    0.805102 0.000504466
          11    0.805905    0.805175 0.000463861
          12    0.805526    0.805204 0.000426127
          13    0.805014     0.80519 0.000393599
          14    0.804852    0.805166 0.000366222
          15    0.804061    0.805092 0.000349134
          16    0.806528    0.805182 0.000338647
          17    0.802911    0.805048 0.000344059
          18    0.805628     0.80508 0.000326451
          19    0.809007    0.805287 0.000368918
          20    0.799544       0.805  0.00044852
          21    0.801175    0.804818 0.000462664
          22     0.80637    0.804888 0.000446981
          23    0.802637     0.80479 0.000438132
          24    0.803142    0.804722 0.000425224
          25    0.809416    0.804909 0.000447761
          26    0.806407    0.804967 0.000434228
          27    0.803175    0.804901 0.000423189
          28    0.805638    0.804927 0.000408893
          29    0.803957    0.804894  0.00039616
          30    0.801348    0.804775 0.000400196
          31    0.806773     0.80484 0.000392441
          32    0.804852     0.80484 0.000380178
          33    0.800843    0.804719 0.000387477
          34    0.804066      0.8047 0.000376557
          35    0.804894    0.804705 0.000365839
          36    0.809013    0.804825 0.000374731
          37    0.801637    0.804739 0.000374377
          38    0.805641    0.804763 0.000365277
          39    0.802554    0.804706 0.000360273
          40    0.802878     0.80466 0.000354154
          41    0.804345    0.804653 0.000345599
          42    0.809614    0.804771 0.000356988
          43    0.802775    0.804724 0.000351691
          44    0.805013    0.804731 0.000343759
          45    0.801595    0.804661  0.00034311
          46    0.804543    0.804659 0.000335661
          47    0.805546    0.804677 0.000329049
          48    0.805299     0.80469 0.000322449
          49    0.802761    0.804651 0.000318264
          50    0.805976    0.804678    0.000313
