#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.44601    -5.44601           0
           2    -5.44606    -5.44603 1.79999e-05
           3    -5.44783    -5.44663 0.000489123
           4    -5.44689     -5.4467    0.000371
           5      -5.447    -5.44676  0.00030178
           6    -5.44718    -5.44683 0.000259467
           7    -5.44728    -5.44689 0.000230223
           8    -5.44687    -5.44689 0.000201466
           9    -5.44729    -5.44693 0.000184065
          10    -5.44648    -5.44689 0.000171251
          11    -5.44736    -5.44693 0.000161053
          12    -5.44572    -5.44683 0.000176314
          13    -5.44719    -5.44686 0.000164943
          14    -5.44755    -5.44691 0.000160472
          15    -5.44711    -5.44692 0.000150321
          16    -5.44642    -5.44689 0.000144127
          17    -5.44808    -5.44696 0.000151708
          18      -5.448    -5.44702  0.00015397
          19    -5.44746    -5.44704 0.000147655
          20    -5.44581    -5.44698 0.000152568
          21    -5.44753    -5.44701 0.000147537
          22     -5.4473    -5.44702 0.000141441
          23    -5.44762    -5.44705 0.000137658
          24    -5.44678    -5.44703 0.000132358
          25    -5.44703    -5.44703 0.000127064
          26    -5.44636    -5.44701 0.000124771
          27    -5.44812    -5.44705 0.000126784
          28    -5.44661    -5.44703 0.000123205
          29    -5.44736    -5.44705 0.000119472
          30    -5.44637    -5.44702 0.000117604
          31    -5.44658    -5.44701 0.000114681
          32    -5.44768    -5.44703 0.000113007
          33    -5.44671    -5.44702 0.000109995
          34    -5.44681    -5.44701 0.000106929
          35    -5.44758    -5.44703  0.00010509
          36    -5.44791    -5.44705 0.000105005
          37    -5.44582    -5.44702 0.000107314
          38    -5.44711    -5.44702 0.000104516
          39    -5.44718    -5.44703 0.000101918
          40    -5.44755    -5.44704 0.000100192
          41    -5.44742    -5.44705 9.81637e-05
          42    -5.44793    -5.44707 9.80288e-05
          43     -5.4472    -5.44707 9.57943e-05
          44    -5.44681    -5.44707  9.3804e-05
          45      -5.447    -5.44707 9.17304e-05
          46     -5.4474    -5.44707 9.00301e-05
          47    -5.44753    -5.44708 8.86346e-05
          48    -5.44678    -5.44708 8.70169e-05
          49    -5.44712    -5.44708 8.52454e-05
          50    -5.44719    -5.44708 8.35718e-05
