#     BLOCK:      ACTUAL_X:        X_AVE:          ERROR:
           1      3.078800e-02      3.078800e-02      0.000000e+00
           2      2.952200e-02      3.015500e-02      4.475986e-04
           3      2.957000e-02      2.996000e-02      3.382189e-04
           4      2.630400e-02      2.904600e-02      8.311994e-04
           5      2.270800e-02      2.777840e-02      1.314389e-03
           6      1.819200e-02      2.618067e-02      1.824014e-03
           7      2.566200e-02      2.610657e-02      1.564945e-03
           8      3.376200e-02      2.706350e-02      1.635942e-03
           9      3.384800e-02      2.781733e-02      1.618560e-03
          10      3.104600e-02      2.814020e-02      1.488558e-03
          11      2.142200e-02      2.752945e-02      1.473208e-03
          12      2.145400e-02      2.702317e-02      1.434802e-03
          13      3.410000e-02      2.756754e-02      1.423962e-03
          14      3.195200e-02      2.788071e-02      1.356252e-03
          15      2.129800e-02      2.744187e-02      1.334948e-03
          16      3.634200e-02      2.799813e-02      1.362487e-03
          17      2.728400e-02      2.795612e-02      1.282988e-03
          18      2.726200e-02      2.791756e-02      1.212291e-03
          19      2.455400e-02      2.774053e-02      1.161340e-03
          20      2.358600e-02      2.753280e-02      1.121697e-03
