#     BLOCK:      ACTUAL_X:        X_AVE:          ERROR:
           1      2.006720e-01      2.006720e-01      0.000000e+00
           2      2.004091e-01      2.005405e-01      9.295265e-05
           3      1.976080e-01      1.995630e-01      8.005397e-04
           4      1.934368e-01      1.980315e-01      1.455922e-03
           5      1.940652e-01      1.972382e-01      1.363827e-03
           6      1.993342e-01      1.975875e-01      1.180414e-03
           7      1.947606e-01      1.971837e-01      1.078658e-03
           8      2.000078e-01      1.975367e-01      9.999251e-04
           9      1.991397e-01      1.977148e-01      9.045467e-04
          10      1.990425e-01      1.978476e-01      8.237779e-04
          11      1.934833e-01      1.974508e-01      8.390096e-04
          12      1.973549e-01      1.974428e-01      7.691302e-04
          13      1.958407e-01      1.973196e-01      7.197722e-04
          14      1.940314e-01      1.970847e-01      7.056415e-04
          15      1.986189e-01      1.971870e-01      6.659697e-04
          16      1.975351e-01      1.972088e-01      6.247018e-04
          17      1.987542e-01      1.972997e-01      5.945323e-04
          18      2.004056e-01      1.974722e-01      5.860085e-04
          19      1.986780e-01      1.975357e-01      5.585918e-04
          20      1.932055e-01      1.973192e-01      5.710817e-04
