#     BLOCK:      ACTUAL_X:        X_AVE:          ERROR:
           1      1.350434e+00      1.350434e+00      0.000000e+00
           2      1.344074e+00      1.347254e+00      2.248600e-03
           3      1.347056e+00      1.347188e+00      1.500035e-03
           4      1.334164e+00      1.343932e+00      3.035924e-03
           5      1.327416e+00      1.340629e+00      3.824615e-03
           6      1.342706e+00      1.340975e+00      3.202810e-03
           7      1.341864e+00      1.341102e+00      2.747782e-03
           8      1.340472e+00      1.341023e+00      2.405438e-03
           9      1.374292e+00      1.344720e+00      4.088743e-03
          10      1.345450e+00      1.344793e+00      3.680520e-03
          11      1.372178e+00      1.347282e+00      4.102403e-03
          12      1.377220e+00      1.349777e+00      4.454998e-03
          13      1.317858e+00      1.347322e+00      4.740877e-03
          14      1.347486e+00      1.347334e+00      4.402258e-03
          15      1.339876e+00      1.346836e+00      4.136753e-03
          16      1.363668e+00      1.347888e+00      4.009734e-03
          17      1.359110e+00      1.348548e+00      3.827815e-03
          18      1.386648e+00      1.350665e+00      4.159404e-03
          19      1.329798e+00      1.349567e+00      4.082910e-03
          20      1.347698e+00      1.349473e+00      3.879834e-03
