#     BLOCK:      ACTUAL_X:        X_AVE:          ERROR:
           1     -4.630718e-01     -4.630718e-01      0.000000e+00
           2     -4.597264e-01     -4.613991e-01      1.182749e-03
           3     -4.635194e-01     -4.621059e-01      9.771101e-04
           4     -4.632781e-01     -4.623989e-01      7.755345e-04
           5     -4.644582e-01     -4.628108e-01      7.215438e-04
           6     -4.621998e-01     -4.627089e-01      6.084284e-04
           7     -4.623772e-01     -4.626616e-01      5.233521e-04
           8     -4.629512e-01     -4.626978e-01      4.591841e-04
           9     -4.632770e-01     -4.627621e-01      4.126486e-04
          10     -4.620649e-01     -4.626924e-01      3.772277e-04
          11     -4.617444e-01     -4.626062e-01      3.526407e-04
          12     -4.649731e-01     -4.628035e-01      3.743715e-04
          13     -4.652660e-01     -4.629929e-01      3.905678e-04
          14     -4.617710e-01     -4.629056e-01      3.722935e-04
          15     -4.617300e-01     -4.628272e-01      3.556284e-04
          16     -4.642108e-01     -4.629137e-01      3.437546e-04
          17     -4.621977e-01     -4.628716e-01      3.261039e-04
          18     -4.627332e-01     -4.628639e-01      3.080776e-04
          19     -4.637031e-01     -4.629081e-01      2.950120e-04
          20     -4.621557e-01     -4.628705e-01      2.826496e-04
