                  #     TEMP:                   X_AVE:          ERROR:
                         0.5             -9.741180e-01     8.533158e-04
			 0.6             -9.344800e-01      8.686317e-04
		         0.7             -8.922118e-01      7.724377e-04
			 0.8             -8.490850e-01      3.877138e-04
			 0.9             -8.047732e-01      3.018237e-04
			 1.0             -7.620970e-01      3.505150e-04
			 1.1             -7.208340e-01      3.017183e-04
			 1.2             -6.828854e-01      2.852574e-04
			 1.3             -6.463870e-01      2.654261e-04
			 1.4             -6.128068e-01      3.114073e-04
			 1.5             -5.826500e-01      2.833233e-04
			 1.6             -5.544926e-01      3.623767e-04
			 1.7             -5.283146e-01      3.192281e-04
			 1.8             -5.046578e-01      2.719477e-04
			 1.9             -4.826460e-01      2.506091e-04
			 2.0             -4.623834e-01      2.392622e-04
