# DISTANCE:     AVE_GOFR:        ERROR:
0.000000e+00      0.000000e+00      0.000000e+00
6.463304e-02      0.000000e+00      0.000000e+00
1.292661e-01      0.000000e+00      0.000000e+00
1.938991e-01      0.000000e+00      0.000000e+00
2.585322e-01      0.000000e+00      0.000000e+00
3.231652e-01      0.000000e+00      0.000000e+00
3.877982e-01      0.000000e+00      0.000000e+00
4.524313e-01      0.000000e+00      0.000000e+00
5.170643e-01      0.000000e+00      0.000000e+00
5.816974e-01      0.000000e+00      0.000000e+00
6.463304e-01      0.000000e+00      0.000000e+00
7.109634e-01      0.000000e+00      0.000000e+00
7.755965e-01      0.000000e+00      0.000000e+00
8.402295e-01      1.101576e-03      6.563395e-04
9.048626e-01      1.522701e-01      8.467298e-03
9.694956e-01      1.066638e+00      3.914633e-02
1.034129e+00      1.832016e+00      7.105218e-02
1.098762e+00      1.934615e+00      7.537550e-02
1.163395e+00      1.774817e+00      6.483870e-02
1.228028e+00      1.635663e+00      5.957141e-02
1.292661e+00      1.479952e+00      5.419145e-02
1.357294e+00      1.319480e+00      5.184355e-02
1.421927e+00      1.196561e+00      4.497506e-02
1.486560e+00      1.154281e+00      3.924747e-02
1.551193e+00      1.091250e+00      3.495168e-02
1.615826e+00      1.051633e+00      3.634264e-02
1.680459e+00      1.017004e+00      3.294939e-02
1.745092e+00      1.013437e+00      3.205724e-02
1.809725e+00      1.011493e+00      3.039587e-02
1.874358e+00      1.017810e+00      3.054356e-02
1.938991e+00      1.025133e+00      3.080569e-02
2.003624e+00      1.010460e+00      3.015768e-02
2.068257e+00      9.889875e-01      2.697493e-02
2.132890e+00      1.027334e+00      2.587995e-02
2.197523e+00      1.038831e+00      2.662392e-02
2.262156e+00      1.024978e+00      2.362829e-02
2.326789e+00      1.033383e+00      2.286318e-02
2.391423e+00      1.048331e+00      2.424873e-02
2.456056e+00      1.027905e+00      1.819447e-02
2.520689e+00      1.029911e+00      1.718855e-02
2.585322e+00      1.027912e+00      1.792618e-02
2.649955e+00      1.038276e+00      1.567561e-02
2.714588e+00      1.038042e+00      1.651837e-02
2.779221e+00      1.046372e+00      2.069465e-02
2.843854e+00      1.032715e+00      2.269659e-02
2.908487e+00      1.044099e+00      3.101457e-02
2.973120e+00      1.047915e+00      4.670214e-02
3.037753e+00      1.070778e+00      7.226286e-02
3.102386e+00      1.035227e+00      2.936073e-02
3.167019e+00      1.018229e+00      1.998731e-02
3.231652e+00      1.007618e+00      1.502901e-02
3.296285e+00      9.917417e-01      1.230010e-02
3.360918e+00      9.887063e-01      1.081708e-02
3.425551e+00      9.745970e-01      1.253177e-02
3.490184e+00      9.714313e-01      1.555364e-02
3.554817e+00      9.620393e-01      1.389696e-02
3.619450e+00      9.657853e-01      1.423482e-02
3.684083e+00      9.544752e-01      1.482301e-02
3.748716e+00      9.571831e-01      1.488747e-02
3.813349e+00      9.699801e-01      1.578374e-02
3.877982e+00      9.676341e-01      1.550869e-02
3.942615e+00      9.512150e-01      1.521713e-02
4.007249e+00      9.608375e-01      1.358387e-02
4.071882e+00      9.740654e-01      1.365212e-02
4.136515e+00      9.681738e-01      1.191972e-02
4.201148e+00      9.703911e-01      1.098004e-02
4.265781e+00      9.832940e-01      1.172144e-02
4.330414e+00      9.787489e-01      7.041197e-03
4.395047e+00      9.678359e-01      8.864670e-03
4.459680e+00      9.789035e-01      1.049772e-02
4.524313e+00      9.680487e-01      1.119382e-02
4.588946e+00      9.679684e-01      1.077409e-02
4.653579e+00      9.742353e-01      1.177411e-02
4.718212e+00      9.645119e-01      1.152254e-02
4.782845e+00      9.674086e-01      1.041770e-02
4.847478e+00      9.735318e-01      9.279642e-03
4.912111e+00      9.866101e-01      7.858872e-03
4.976744e+00      9.978706e-01      8.520876e-03
5.041377e+00      1.004907e+00      8.630242e-03
5.106010e+00      9.895391e-01      1.303642e-02
5.170643e+00      1.011343e+00      2.119217e-02
5.235276e+00      1.050827e+00      4.656685e-02
5.299909e+00      1.013314e+00      2.405204e-02
5.364542e+00      9.931095e-01      1.342699e-02
5.429175e+00      9.884072e-01      9.288903e-03
5.493808e+00      9.857451e-01      7.049340e-03
5.558442e+00      9.823912e-01      7.874411e-03
5.623075e+00      9.731495e-01      8.221035e-03
5.687708e+00      9.763853e-01      9.086347e-03
5.752341e+00      9.811147e-01      8.538058e-03
5.816974e+00      9.910826e-01      8.376721e-03
5.881607e+00      9.920051e-01      8.183626e-03
5.946240e+00      9.877656e-01      8.230736e-03
6.010873e+00      9.872589e-01      8.405218e-03
6.075506e+00      1.001385e+00      1.285329e-02
6.140139e+00      9.924130e-01      8.367734e-03
6.204772e+00      9.889441e-01      9.660028e-03
6.269405e+00      9.873050e-01      1.014227e-02
6.334038e+00      9.766610e-01      9.769961e-03
6.398671e+00      9.818205e-01      8.531610e-03
