#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      1.465237e+00      1.465237e+00      0.000000e+00
           2      1.572767e+00      1.519002e+00      3.801780e-02
           3      1.680243e+00      1.572749e+00      5.067760e-02
           4      1.724926e+00      1.610793e+00      5.030051e-02
           5      1.787107e+00      1.646056e+00      5.112789e-02
           6      1.793685e+00      1.670661e+00      4.816451e-02
           7      1.777198e+00      1.685880e+00      4.362226e-02
           8      1.797285e+00      1.699806e+00      4.033101e-02
           9      1.812939e+00      1.712376e+00      3.775797e-02
          10      1.788265e+00      1.719965e+00      3.473643e-02
          11      1.800270e+00      1.727266e+00      3.233663e-02
          12      1.765577e+00      1.730458e+00      2.979909e-02
          13      1.737376e+00      1.730990e+00      2.751161e-02
          14      1.721457e+00      1.730309e+00      2.555492e-02
          15      1.747461e+00      1.731453e+00      2.387682e-02
          16      1.768478e+00      1.733767e+00      2.249638e-02
          17      1.796650e+00      1.737466e+00      2.147502e-02
          18      1.776249e+00      1.739621e+00      2.038976e-02
          19      1.797966e+00      1.742691e+00      1.954649e-02
          20      1.817129e+00      1.746413e+00      1.892019e-02
          21      1.792081e+00      1.748588e+00      1.814378e-02
          22      1.773400e+00      1.749716e+00      1.735408e-02
          23      1.768737e+00      1.750543e+00      1.661924e-02
          24      1.820349e+00      1.753451e+00      1.617929e-02
          25      1.827529e+00      1.756414e+00      1.580113e-02
          26      1.831574e+00      1.759305e+00      1.545555e-02
          27      1.824992e+00      1.761738e+00      1.507339e-02
          28      1.872652e+00      1.765699e+00      1.504655e-02
          29      1.842391e+00      1.768344e+00      1.475827e-02
          30      1.837677e+00      1.770655e+00      1.444615e-02
          31      1.842101e+00      1.772960e+00      1.416280e-02
          32      1.848955e+00      1.775334e+00      1.391790e-02
          33      1.821192e+00      1.776724e+00      1.356535e-02
          34      1.854184e+00      1.779002e+00      1.335631e-02
          35      1.828534e+00      1.780418e+00      1.304945e-02
          36      1.835132e+00      1.781937e+00      1.277517e-02
          37      1.831232e+00      1.783270e+00      1.249917e-02
          38      1.825814e+00      1.784389e+00      1.222029e-02
          39      1.830839e+00      1.785580e+00      1.196485e-02
          40      1.901804e+00      1.788486e+00      1.201335e-02
          41      1.896598e+00      1.791123e+00      1.200624e-02
          42      1.876817e+00      1.793163e+00      1.189248e-02
          43      1.812160e+00      1.793605e+00      1.162412e-02
          44      1.803161e+00      1.793822e+00      1.136196e-02
          45      1.797206e+00      1.793897e+00      1.110972e-02
          46      1.752445e+00      1.792996e+00      1.090469e-02
          47      1.739405e+00      1.791856e+00      1.073213e-02
          48      1.767283e+00      1.791344e+00      1.052074e-02
          49      1.823177e+00      1.791994e+00      1.032607e-02
          50      1.854916e+00      1.793252e+00      1.019595e-02
