#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -4.592369e-02     -4.592369e-02      0.000000e+00
           2     -1.539906e-01     -9.995712e-02      3.820740e-02
           3     -2.613842e-01     -1.537661e-01      5.078461e-02
           4     -3.061010e-01     -1.918499e-01      5.038360e-02
           5     -3.683203e-01     -2.271439e-01      5.119749e-02
           6     -3.747910e-01     -2.517518e-01      4.821709e-02
           7     -3.584120e-01     -2.669890e-01      4.367018e-02
           8     -3.785560e-01     -2.809348e-01      4.037683e-02
           9     -3.941520e-01     -2.935145e-01      3.779940e-02
          10     -3.694633e-01     -3.011094e-01      3.477409e-02
          11     -3.815491e-01     -3.084221e-01      3.237258e-02
          12     -3.467135e-01     -3.116131e-01      2.983172e-02
          13     -3.186090e-01     -3.121512e-01      2.754182e-02
          14     -3.026094e-01     -3.114696e-01      2.558298e-02
          15     -3.286773e-01     -3.126168e-01      2.390316e-02
          16     -3.497136e-01     -3.149354e-01      2.252137e-02
          17     -3.778614e-01     -3.186369e-01      2.149862e-02
          18     -3.574676e-01     -3.207942e-01      2.041220e-02
          19     -3.791961e-01     -3.238679e-01      1.956794e-02
          20     -3.983078e-01     -3.275899e-01      1.894021e-02
          21     -3.732083e-01     -3.297622e-01      1.816244e-02
          22     -3.545656e-01     -3.308897e-01      1.737184e-02
          23     -3.499334e-01     -3.317177e-01      1.663626e-02
          24     -4.016928e-01     -3.346333e-01      1.619656e-02
          25     -4.088032e-01     -3.376001e-01      1.581808e-02
          26     -4.129573e-01     -3.404984e-01      1.547295e-02
          27     -4.063567e-01     -3.429376e-01      1.509092e-02
          28     -4.539692e-01     -3.469030e-01      1.506394e-02
          29     -4.236240e-01     -3.495486e-01      1.477497e-02
          30     -4.187461e-01     -3.518552e-01      1.446140e-02
          31     -4.233340e-01     -3.541609e-01      1.417753e-02
          32     -4.300604e-01     -3.565328e-01      1.393147e-02
          33     -4.024114e-01     -3.579231e-01      1.357850e-02
          34     -4.353294e-01     -3.601997e-01      1.336863e-02
          35     -4.097530e-01     -3.616155e-01      1.306142e-02
          36     -4.162824e-01     -3.631341e-01      1.278657e-02
          37     -4.124833e-01     -3.644678e-01      1.251036e-02
          38     -4.070232e-01     -3.655877e-01      1.223116e-02
          39     -4.122251e-01     -3.667835e-01      1.197585e-02
          40     -4.830878e-01     -3.696911e-01      1.202425e-02
          41     -4.778340e-01     -3.723288e-01      1.201678e-02
          42     -4.580077e-01     -3.743687e-01      1.190256e-02
          43     -3.933913e-01     -3.748111e-01      1.163398e-02
          44     -3.843602e-01     -3.750281e-01      1.137159e-02
          45     -3.784947e-01     -3.751052e-01      1.111915e-02
          46     -3.336464e-01     -3.742039e-01      1.091390e-02
          47     -3.207047e-01     -3.730656e-01      1.074088e-02
          48     -3.485816e-01     -3.725555e-01      1.052922e-02
          49     -4.044855e-01     -3.732072e-01      1.033448e-02
          50     -4.361356e-01     -3.744657e-01      1.020414e-02
