#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1      3.790657e-02      3.790657e-02      0.000000e+00
           2      4.167407e-02      3.979032e-02      1.332015e-03
           3      3.931444e-02      3.963169e-02      8.974055e-04
           4      4.367248e-02      4.064189e-02      1.103801e-03
           5      4.314681e-02      4.114287e-02      9.902265e-04
           6      3.971529e-02      4.090494e-02      8.532951e-04
           7      4.304092e-02      4.121008e-02      7.840591e-04
           8      4.671921e-02      4.189872e-02      9.410715e-04
           9      4.022899e-02      4.171320e-02      8.545999e-04
          10      4.511316e-02      4.205319e-02      8.340349e-04
          11      4.425317e-02      4.225319e-02      7.818252e-04
          12      4.715706e-02      4.266185e-02      8.165191e-04
          13      4.889437e-02      4.314127e-02      8.833156e-04
          14      4.226364e-02      4.307859e-02      8.224430e-04
          15      4.242305e-02      4.303488e-02      7.687737e-04
          16      4.190828e-02      4.296447e-02      7.239428e-04
          17      4.831763e-02      4.327936e-02      7.467080e-04
          18      4.414755e-02      4.332759e-02      7.067802e-04
          19      4.424714e-02      4.337599e-02      6.712362e-04
          20      4.949086e-02      4.368173e-02      7.038705e-04
          21      4.308239e-02      4.365319e-02      6.709312e-04
          22      4.360435e-02      4.365097e-02      6.404380e-04
          23      4.010855e-02      4.349696e-02      6.308410e-04
          24      4.579584e-02      4.359274e-02      6.117849e-04
          25      4.276341e-02      4.355957e-02      5.882122e-04
          26      4.867233e-02      4.375621e-02      5.975553e-04
          27      4.223600e-02      4.369991e-02      5.780702e-04
          28      4.470608e-02      4.373584e-02      5.585406e-04
          29      4.397665e-02      4.374415e-02      5.393423e-04
          30      4.412059e-02      4.375670e-02      5.215102e-04
          31      4.413015e-02      4.376874e-02      5.048264e-04
          32      5.021653e-02      4.397024e-02      5.277322e-04
          33      4.498631e-02      4.400103e-02      5.126378e-04
          34      4.370483e-02      4.399232e-02      4.976342e-04
          35      4.507075e-02      4.402313e-02      4.843691e-04
          36      4.420303e-02      4.402813e-02      4.709401e-04
          37      4.250986e-02      4.398709e-02      4.599963e-04
          38      4.550979e-02      4.402716e-02      4.496330e-04
          39      4.686050e-02      4.409981e-02      4.439344e-04
          40      4.417650e-02      4.410173e-02      4.328402e-04
          41      4.308412e-02      4.407691e-02      4.229941e-04
          42      4.773657e-02      4.416404e-02      4.218020e-04
          43      4.612632e-02      4.420968e-02      4.144539e-04
          44      4.296504e-02      4.418139e-02      4.059986e-04
          45      4.092301e-02      4.410898e-02      4.033817e-04
          46      4.640296e-02      4.415885e-02      3.976832e-04
          47      4.449253e-02      4.416595e-02      3.892852e-04
          48      4.019547e-02      4.408323e-02      3.898643e-04
          49      4.452039e-02      4.409215e-02      3.820100e-04
          50      4.311339e-02      4.407258e-02      3.748710e-04
