#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      9.768244e-01      9.768244e-01      0.000000e+00
           2      1.048511e+00      1.012668e+00      2.534520e-02
           3      1.120162e+00      1.048499e+00      3.378507e-02
           4      1.149950e+00      1.073862e+00      3.353368e-02
           5      1.191405e+00      1.097371e+00      3.408526e-02
           6      1.195790e+00      1.113774e+00      3.210967e-02
           7      1.184798e+00      1.123920e+00      2.908150e-02
           8      1.198190e+00      1.133204e+00      2.688734e-02
           9      1.208626e+00      1.141584e+00      2.517198e-02
          10      1.192176e+00      1.146643e+00      2.315762e-02
          11      1.200180e+00      1.151510e+00      2.155775e-02
          12      1.177051e+00      1.153639e+00      1.986606e-02
          13      1.158251e+00      1.153994e+00      1.834107e-02
          14      1.147638e+00      1.153540e+00      1.703661e-02
          15      1.164974e+00      1.154302e+00      1.591788e-02
          16      1.178986e+00      1.155845e+00      1.499759e-02
          17      1.197766e+00      1.158311e+00      1.431668e-02
          18      1.184166e+00      1.159747e+00      1.359318e-02
          19      1.198644e+00      1.161794e+00      1.303099e-02
          20      1.211419e+00      1.164275e+00      1.261346e-02
          21      1.194721e+00      1.165725e+00      1.209585e-02
          22      1.182267e+00      1.166477e+00      1.156938e-02
          23      1.179158e+00      1.167028e+00      1.107950e-02
          24      1.213566e+00      1.168968e+00      1.078620e-02
          25      1.218352e+00      1.170943e+00      1.053408e-02
          26      1.221049e+00      1.172870e+00      1.030370e-02
          27      1.216662e+00      1.174492e+00      1.004893e-02
          28      1.248435e+00      1.177133e+00      1.003103e-02
          29      1.228260e+00      1.178896e+00      9.838847e-03
          30      1.225118e+00      1.180437e+00      9.630769e-03
          31      1.228068e+00      1.181973e+00      9.441868e-03
          32      1.232637e+00      1.183556e+00      9.278602e-03
          33      1.214128e+00      1.184483e+00      9.043563e-03
          34      1.236123e+00      1.186002e+00      8.904203e-03
          35      1.219022e+00      1.186945e+00      8.699636e-03
          36      1.223422e+00      1.187958e+00      8.516781e-03
          37      1.220821e+00      1.188846e+00      8.332782e-03
          38      1.217209e+00      1.189593e+00      8.146857e-03
          39      1.220560e+00      1.190387e+00      7.976564e-03
          40      1.267869e+00      1.192324e+00      8.008900e-03
          41      1.264398e+00      1.194082e+00      8.004163e-03
          42      1.251211e+00      1.195442e+00      7.928323e-03
          43      1.208107e+00      1.195737e+00      7.749412e-03
          44      1.202107e+00      1.195881e+00      7.574642e-03
          45      1.198137e+00      1.195931e+00      7.406482e-03
          46      1.168297e+00      1.195331e+00      7.269795e-03
          47      1.159603e+00      1.194571e+00      7.154751e-03
          48      1.178189e+00      1.194229e+00      7.013829e-03
          49      1.215451e+00      1.194662e+00      6.884048e-03
          50      1.236610e+00      1.195501e+00      6.797297e-03
