#     BLOCK:      ACTUAL_X:        X_AVE:          ERROR:
           1      1.419313e+00      1.419313e+00      0.000000e+00
           2      1.418777e+00      1.419045e+00      1.896091e-04
           3      1.418859e+00      1.418983e+00      1.361134e-04
           4      1.418825e+00      1.418943e+00      1.076800e-04
           5      1.418787e+00      1.418912e+00      9.058711e-05
           6      1.418894e+00      1.418909e+00      7.553803e-05
           7      1.418786e+00      1.418891e+00      6.677029e-05
           8      1.418729e+00      1.418871e+00      6.143474e-05
           9      1.418787e+00      1.418862e+00      5.530801e-05
          10      1.418801e+00      1.418856e+00      5.010545e-05
          11      1.418721e+00      1.418843e+00      4.703150e-05
          12      1.418863e+00      1.418845e+00      4.314096e-05
          13      1.418767e+00      1.418839e+00      4.023939e-05
          14      1.418848e+00      1.418840e+00      3.736969e-05
          15      1.418784e+00      1.418836e+00      3.506223e-05
          16      1.418765e+00      1.418832e+00      3.315112e-05
          17      1.418788e+00      1.418829e+00      3.129905e-05
          18      1.418782e+00      1.418826e+00      2.966968e-05
          19      1.418770e+00      1.418823e+00      2.825695e-05
          20      1.418821e+00      1.418823e+00      2.684436e-05
          21      1.418872e+00      1.418826e+00      2.566810e-05
          22      1.418834e+00      1.418826e+00      2.450446e-05
          23      1.418803e+00      1.418825e+00      2.345933e-05
          24      1.418656e+00      1.418818e+00      2.351636e-05
          25      1.418726e+00      1.418814e+00      2.286471e-05
          26      1.418617e+00      1.418807e+00      2.321444e-05
          27      1.418636e+00      1.418800e+00      2.320190e-05
          28      1.418683e+00      1.418796e+00      2.274945e-05
          29      1.418767e+00      1.418795e+00      2.198761e-05
          30      1.418931e+00      1.418800e+00      2.171816e-05
          31      1.418767e+00      1.418799e+00      2.104271e-05
          32      1.418895e+00      1.418802e+00      2.059983e-05
          33      1.418781e+00      1.418801e+00      1.998523e-05
          34      1.418855e+00      1.418803e+00      1.946031e-05
          35      1.418781e+00      1.418802e+00      1.891443e-05
          36      1.418850e+00      1.418803e+00      1.843583e-05
          37      1.418748e+00      1.418802e+00      1.799715e-05
          38      1.418791e+00      1.418802e+00      1.752597e-05
          39      1.418614e+00      1.418797e+00      1.772172e-05
          40      1.418716e+00      1.418795e+00      1.739200e-05
          41      1.418764e+00      1.418794e+00      1.698430e-05
          42      1.418809e+00      1.418794e+00      1.658372e-05
          43      1.418769e+00      1.418794e+00      1.620873e-05
          44      1.418801e+00      1.418794e+00      1.584113e-05
          45      1.418711e+00      1.418792e+00      1.559467e-05
          46      1.418799e+00      1.418792e+00      1.525638e-05
          47      1.418700e+00      1.418790e+00      1.505731e-05
          48      1.418702e+00      1.418788e+00      1.485651e-05
          49      1.418692e+00      1.418786e+00      1.468402e-05
          50      1.418780e+00      1.418786e+00      1.439089e-05
