# DISTANCE:     AVE_GOFR:        ERROR:
0.000000e+00      0.000000e+00      0.000000e+00
2.564964e-02      0.000000e+00      0.000000e+00
5.129928e-02      0.000000e+00      0.000000e+00
7.694892e-02      0.000000e+00      0.000000e+00
1.025986e-01      0.000000e+00      0.000000e+00
1.282482e-01      0.000000e+00      0.000000e+00
1.538978e-01      0.000000e+00      0.000000e+00
1.795475e-01      0.000000e+00      0.000000e+00
2.051971e-01      0.000000e+00      0.000000e+00
2.308468e-01      0.000000e+00      0.000000e+00
2.564964e-01      0.000000e+00      0.000000e+00
2.821460e-01      0.000000e+00      0.000000e+00
3.077957e-01      0.000000e+00      0.000000e+00
3.334453e-01      0.000000e+00      0.000000e+00
3.590949e-01      0.000000e+00      0.000000e+00
3.847446e-01      0.000000e+00      0.000000e+00
4.103942e-01      0.000000e+00      0.000000e+00
4.360439e-01      0.000000e+00      0.000000e+00
4.616935e-01      0.000000e+00      0.000000e+00
4.873431e-01      0.000000e+00      0.000000e+00
5.129928e-01      0.000000e+00      0.000000e+00
5.386424e-01      0.000000e+00      0.000000e+00
5.642921e-01      0.000000e+00      0.000000e+00
5.899417e-01      0.000000e+00      0.000000e+00
6.155913e-01      0.000000e+00      0.000000e+00
6.412410e-01      0.000000e+00      0.000000e+00
6.668906e-01      0.000000e+00      0.000000e+00
6.925403e-01      0.000000e+00      0.000000e+00
7.181899e-01      0.000000e+00      0.000000e+00
7.438395e-01      0.000000e+00      0.000000e+00
7.694892e-01      0.000000e+00      0.000000e+00
7.951388e-01      0.000000e+00      0.000000e+00
8.207885e-01      0.000000e+00      0.000000e+00
8.464381e-01      0.000000e+00      0.000000e+00
8.720877e-01      1.186665e-03      2.089335e-04
8.977374e-01      2.755988e-02      1.460346e-03
9.233870e-01      1.756017e-01      3.325295e-03
9.490367e-01      5.865629e-01      6.406752e-03
9.746863e-01      1.220927e+00      9.975923e-03
1.000336e+00      1.858802e+00      1.526714e-02
1.025986e+00      2.318343e+00      1.489274e-02
1.051635e+00      2.520801e+00      1.493451e-02
1.077285e+00      2.527492e+00      1.502293e-02
1.102934e+00      2.392913e+00      1.304264e-02
1.128584e+00      2.204493e+00      1.193181e-02
1.154234e+00      1.977883e+00      1.301786e-02
1.179883e+00      1.755359e+00      1.526710e-02
1.205533e+00      1.567812e+00      1.825083e-02
1.231183e+00      1.393272e+00      1.255650e-02
1.256832e+00      1.243529e+00      1.018027e-02
1.282482e+00      1.115445e+00      8.703010e-03
1.308132e+00      1.030028e+00      8.693529e-03
1.333781e+00      9.389543e-01      8.290417e-03
1.359431e+00      8.852040e-01      7.265692e-03
1.385081e+00      8.182337e-01      6.208386e-03
1.410730e+00      7.670649e-01      6.281034e-03
1.436380e+00      7.308817e-01      6.415319e-03
1.462029e+00      7.030098e-01      6.664436e-03
1.487679e+00      6.878316e-01      6.229103e-03
1.513329e+00      6.823539e-01      6.318465e-03
1.538978e+00      6.792501e-01      5.620098e-03
1.564628e+00      6.719701e-01      5.225932e-03
1.590278e+00      6.788342e-01      5.798194e-03
1.615927e+00      6.976579e-01      5.848592e-03
1.641577e+00      7.091526e-01      6.197737e-03
1.667227e+00      7.362389e-01      4.945673e-03
1.692876e+00      7.535707e-01      5.562896e-03
1.718526e+00      7.864587e-01      5.769326e-03
1.744175e+00      8.098349e-01      5.198129e-03
1.769825e+00      8.538060e-01      5.659115e-03
1.795475e+00      8.963590e-01      6.767794e-03
1.821124e+00      9.294387e-01      5.665887e-03
1.846774e+00      9.649095e-01      6.123065e-03
1.872424e+00      1.010532e+00      5.950630e-03
1.898073e+00      1.057392e+00      6.214898e-03
1.923723e+00      1.097575e+00      5.020509e-03
1.949373e+00      1.128577e+00      5.196926e-03
1.975022e+00      1.157261e+00      5.198102e-03
2.000672e+00      1.175851e+00      5.381938e-03
2.026321e+00      1.191946e+00      4.836729e-03
2.051971e+00      1.213244e+00      7.044295e-03
2.077621e+00      1.235365e+00      1.291996e-02
2.103270e+00      1.218989e+00      8.797732e-03
2.128920e+00      1.198645e+00      6.224032e-03
2.154570e+00      1.172590e+00      5.613610e-03
2.180219e+00      1.151692e+00      5.872991e-03
2.205869e+00      1.122995e+00      4.642246e-03
2.231519e+00      1.092327e+00      5.738570e-03
2.257168e+00      1.069679e+00      6.028942e-03
2.282818e+00      1.039241e+00      5.447407e-03
2.308468e+00      1.007451e+00      5.214773e-03
2.334117e+00      9.906342e-01      5.076560e-03
2.359767e+00      9.579075e-01      5.171861e-03
2.385416e+00      9.348133e-01      4.507371e-03
2.411066e+00      9.291269e-01      6.325182e-03
2.436716e+00      9.123743e-01      4.368105e-03
2.462365e+00      8.975069e-01      4.159506e-03
2.488015e+00      8.948263e-01      4.292982e-03
2.513665e+00      8.903736e-01      4.470484e-03
2.539314e+00      8.956284e-01      4.881588e-03
