#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      1.806448e+00      1.806448e+00      0.000000e+00
           2      1.678159e+00      1.742304e+00      4.535687e-02
           3      1.692355e+00      1.725654e+00      3.315317e-02
           4      1.626876e+00      1.700960e+00      3.279676e-02
           5      1.637646e+00      1.688297e+00      2.857758e-02
           6      1.620618e+00      1.677017e+00      2.594543e-02
           7      1.663966e+00      1.675153e+00      2.230582e-02
           8      1.656403e+00      1.672809e+00      1.964034e-02
           9      1.618036e+00      1.666723e+00      1.837682e-02
          10      1.689145e+00      1.668965e+00      1.667536e-02
          11      1.647964e+00      1.667056e+00      1.526833e-02
          12      1.627077e+00      1.663724e+00      1.435484e-02
          13      1.678285e+00      1.664844e+00      1.329425e-02
          14      1.668829e+00      1.665129e+00      1.234771e-02
          15      1.605889e+00      1.661180e+00      1.213969e-02
          16      1.612231e+00      1.658120e+00      1.176013e-02
          17      1.689086e+00      1.659942e+00      1.120853e-02
          18      1.679387e+00      1.661022e+00      1.063777e-02
          19      1.589098e+00      1.657237e+00      1.073031e-02
          20      1.671360e+00      1.657943e+00      1.021700e-02
          21      1.641090e+00      1.657140e+00      9.761949e-03
          22      1.650853e+00      1.656855e+00      9.322406e-03
          23      1.639489e+00      1.656100e+00      8.947607e-03
          24      1.603290e+00      1.653899e+00      8.841210e-03
          25      1.678715e+00      1.654892e+00      8.543103e-03
          26      1.618384e+00      1.653488e+00      8.329113e-03
          27      1.589014e+00      1.651100e+00      8.355924e-03
          28      1.654286e+00      1.651214e+00      8.058273e-03
          29      1.673192e+00      1.651971e+00      7.815959e-03
          30      1.687106e+00      1.653143e+00      7.642667e-03
          31      1.686455e+00      1.654217e+00      7.471291e-03
          32      1.665282e+00      1.654563e+00      7.245810e-03
          33      1.650510e+00      1.654440e+00      7.027281e-03
          34      1.615781e+00      1.653303e+00      6.911970e-03
          35      1.629439e+00      1.652621e+00      6.748032e-03
          36      1.673254e+00      1.653194e+00      6.584880e-03
          37      1.644368e+00      1.652956e+00      6.411230e-03
          38      1.655090e+00      1.653012e+00      6.242760e-03
          39      1.631839e+00      1.652469e+00      6.106250e-03
          40      1.652058e+00      1.652459e+00      5.953603e-03
          41      1.637645e+00      1.652098e+00      5.819345e-03
          42      1.674548e+00      1.652632e+00      5.705287e-03
          43      1.685285e+00      1.653391e+00      5.622916e-03
          44      1.671714e+00      1.653808e+00      5.510521e-03
          45      1.676196e+00      1.654305e+00      5.410476e-03
          46      1.640231e+00      1.653999e+00      5.301502e-03
          47      1.696927e+00      1.654913e+00      5.266793e-03
          48      1.693309e+00      1.655713e+00      5.217459e-03
          49      1.644731e+00      1.655489e+00      5.115792e-03
          50      1.640959e+00      1.655198e+00      5.021722e-03
