#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -5.598686e+00     -5.598686e+00      0.000000e+00
           2     -5.469284e+00     -5.533985e+00      4.575022e-02
           3     -5.483688e+00     -5.517219e+00      3.343128e-02
           4     -5.415493e+00     -5.491788e+00      3.337291e-02
           5     -5.428376e+00     -5.479105e+00      2.900821e-02
           6     -5.412209e+00     -5.467956e+00      2.622878e-02
           7     -5.456915e+00     -5.466379e+00      2.252919e-02
           8     -5.447533e+00     -5.464023e+00      1.983582e-02
           9     -5.409326e+00     -5.457946e+00      1.853950e-02
          10     -5.481466e+00     -5.460298e+00      1.683409e-02
          11     -5.436248e+00     -5.458111e+00      1.544504e-02
          12     -5.416228e+00     -5.454621e+00      1.454698e-02
          13     -5.470578e+00     -5.455848e+00      1.347967e-02
          14     -5.460727e+00     -5.456197e+00      1.252134e-02
          15     -5.399586e+00     -5.452423e+00      1.224216e-02
          16     -5.401192e+00     -5.449221e+00      1.188838e-02
          17     -5.481768e+00     -5.451135e+00      1.134217e-02
          18     -5.470160e+00     -5.452192e+00      1.076119e-02
          19     -5.381222e+00     -5.448457e+00      1.082368e-02
          20     -5.464010e+00     -5.449235e+00      1.031039e-02
          21     -5.432325e+00     -5.448430e+00      9.850814e-03
          22     -5.442742e+00     -5.448171e+00      9.406442e-03
          23     -5.429766e+00     -5.447371e+00      9.031439e-03
          24     -5.395721e+00     -5.445219e+00      8.907840e-03
          25     -5.472697e+00     -5.446318e+00      8.619072e-03
          26     -5.411285e+00     -5.444970e+00      8.392229e-03
          27     -5.382122e+00     -5.442643e+00      8.398021e-03
          28     -5.446151e+00     -5.442768e+00      8.099026e-03
          29     -5.463974e+00     -5.443499e+00      7.852693e-03
          30     -5.479878e+00     -5.444712e+00      7.683994e-03
          31     -5.479152e+00     -5.445823e+00      7.516006e-03
          32     -5.456736e+00     -5.446164e+00      7.288864e-03
          33     -5.444666e+00     -5.446119e+00      7.068131e-03
          34     -5.409500e+00     -5.445041e+00      6.941818e-03
          35     -5.422329e+00     -5.444393e+00      6.773742e-03
          36     -5.464195e+00     -5.444943e+00      6.607879e-03
          37     -5.436906e+00     -5.444725e+00      6.432857e-03
          38     -5.447405e+00     -5.444796e+00      6.263958e-03
          39     -5.421998e+00     -5.444211e+00      6.130560e-03
          40     -5.445117e+00     -5.444234e+00      5.977338e-03
          41     -5.427632e+00     -5.443829e+00      5.845249e-03
          42     -5.466862e+00     -5.444377e+00      5.731744e-03
          43     -5.478673e+00     -5.445175e+00      5.653667e-03
          44     -5.464101e+00     -5.445605e+00      5.541513e-03
          45     -5.468669e+00     -5.446118e+00      5.442019e-03
          46     -5.429813e+00     -5.445763e+00      5.335245e-03
          47     -5.491898e+00     -5.446745e+00      5.311258e-03
          48     -5.486182e+00     -5.447566e+00      5.263772e-03
          49     -5.435279e+00     -5.447316e+00      5.162318e-03
          50     -5.430570e+00     -5.446981e+00      5.069924e-03
