#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1      5.789849e-01      5.789849e-01      0.000000e+00
           2      1.157014e+00      8.679992e-01      2.043640e-01
           3      1.157897e+00      9.646317e-01      1.574398e-01
           4      1.529527e+00      1.105856e+00      1.700029e-01
           5      1.433775e+00      1.171439e+00      1.481135e-01
           6      1.412272e+00      1.211578e+00      1.287519e-01
           7      1.198904e+00      1.209767e+00      1.103715e-01
           8      1.357562e+00      1.228242e+00      9.810902e-02
           9      1.401613e+00      1.247505e+00      8.907910e-02
          10      1.094962e+00      1.232251e+00      8.146683e-02
          11      1.478185e+00      1.254609e+00      7.706762e-02
          12      1.351351e+00      1.262670e+00      7.106574e-02
          13      1.154083e+00      1.254318e+00      6.608820e-02
          14      1.308948e+00      1.258220e+00      6.148271e-02
          15      1.477871e+00      1.272863e+00      5.910196e-02
          16      1.576120e+00      1.291817e+00      5.836816e-02
          17      1.295211e+00      1.292016e+00      5.493508e-02
          18      1.094743e+00      1.281057e+00      5.296508e-02
          19      1.464477e+00      1.290710e+00      5.104964e-02
          20      1.310240e+00      1.291687e+00      4.850649e-02
          21      1.416782e+00      1.297644e+00      4.656100e-02
          22      1.439696e+00      1.304101e+00      4.489007e-02
          23      1.456893e+00      1.310744e+00      4.342709e-02
          24      1.474936e+00      1.317585e+00      4.215307e-02
          25      1.112139e+00      1.309367e+00      4.126021e-02
          26      1.432638e+00      1.314109e+00      3.994476e-02
          27      1.595671e+00      1.324537e+00      3.980329e-02
          28      1.284684e+00      1.323114e+00      3.840718e-02
          29      1.153289e+00      1.317258e+00      3.752657e-02
          30      1.109224e+00      1.310323e+00      3.691083e-02
          31      1.069607e+00      1.302558e+00      3.652780e-02
          32      1.269181e+00      1.301515e+00      3.540119e-02
          33      1.295261e+00      1.301326e+00      3.432894e-02
          34      1.458650e+00      1.305953e+00      3.362967e-02
          35      1.445322e+00      1.309935e+00      3.290372e-02
          36      1.182895e+00      1.306406e+00      3.217841e-02
          37      1.289466e+00      1.305948e+00      3.131198e-02
          38      1.277138e+00      1.305190e+00      3.049716e-02
          39      1.445721e+00      1.308793e+00      2.992729e-02
          40      1.219183e+00      1.306553e+00      2.926284e-02
          41      1.349798e+00      1.307608e+00      2.856812e-02
          42      1.114140e+00      1.303001e+00      2.825685e-02
          43      1.129998e+00      1.298978e+00      2.788468e-02
          44      1.161269e+00      1.295848e+00      2.742601e-02
          45      1.203002e+00      1.293785e+00      2.689404e-02
          46      1.455901e+00      1.297309e+00      2.653930e-02
          47      1.085487e+00      1.292802e+00      2.635453e-02
          48      1.075034e+00      1.288266e+00      2.619307e-02
          49      1.304522e+00      1.288597e+00      2.566061e-02
          50      1.404548e+00      1.290916e+00      2.525197e-02
