#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.204299e+00      1.204299e+00      0.000000e+00
           2      1.118773e+00      1.161536e+00      3.023792e-02
           3      1.128237e+00      1.150436e+00      2.210211e-02
           4      1.084584e+00      1.133973e+00      2.186450e-02
           5      1.091764e+00      1.125531e+00      1.905172e-02
           6      1.080412e+00      1.118011e+00      1.729695e-02
           7      1.109311e+00      1.116768e+00      1.487055e-02
           8      1.104269e+00      1.115206e+00      1.309356e-02
           9      1.078690e+00      1.111149e+00      1.225121e-02
          10      1.126097e+00      1.112643e+00      1.111691e-02
          11      1.098642e+00      1.111371e+00      1.017889e-02
          12      1.084718e+00      1.109150e+00      9.569894e-03
          13      1.118857e+00      1.109896e+00      8.862833e-03
          14      1.112553e+00      1.110086e+00      8.231804e-03
          15      1.070593e+00      1.107453e+00      8.093129e-03
          16      1.074821e+00      1.105414e+00      7.840085e-03
          17      1.126057e+00      1.106628e+00      7.472355e-03
          18      1.119592e+00      1.107348e+00      7.091846e-03
          19      1.059399e+00      1.104825e+00      7.153540e-03
          20      1.114240e+00      1.105295e+00      6.811336e-03
          21      1.094060e+00      1.104760e+00      6.507966e-03
          22      1.100569e+00      1.104570e+00      6.214937e-03
          23      1.092993e+00      1.104066e+00      5.965071e-03
          24      1.068860e+00      1.102599e+00      5.894140e-03
          25      1.119143e+00      1.103261e+00      5.695402e-03
          26      1.078923e+00      1.102325e+00      5.552742e-03
          27      1.059342e+00      1.100733e+00      5.570616e-03
          28      1.102857e+00      1.100809e+00      5.372182e-03
          29      1.115461e+00      1.101314e+00      5.210640e-03
          30      1.124737e+00      1.102095e+00      5.095111e-03
          31      1.124303e+00      1.102811e+00      4.980861e-03
          32      1.110188e+00      1.103042e+00      4.830540e-03
          33      1.100340e+00      1.102960e+00      4.684854e-03
          34      1.077188e+00      1.102202e+00      4.607980e-03
          35      1.086292e+00      1.101748e+00      4.498688e-03
          36      1.115503e+00      1.102130e+00      4.389920e-03
          37      1.096245e+00      1.101971e+00      4.274153e-03
          38      1.103393e+00      1.102008e+00      4.161840e-03
          39      1.087892e+00      1.101646e+00      4.070833e-03
          40      1.101372e+00      1.101639e+00      3.969068e-03
          41      1.091764e+00      1.101398e+00      3.879564e-03
          42      1.116365e+00      1.101755e+00      3.803524e-03
          43      1.123524e+00      1.102261e+00      3.748611e-03
          44      1.114476e+00      1.102539e+00      3.673680e-03
          45      1.117464e+00      1.102870e+00      3.606984e-03
          46      1.093487e+00      1.102666e+00      3.534335e-03
          47      1.131285e+00      1.103275e+00      3.511195e-03
          48      1.128872e+00      1.103808e+00      3.478306e-03
          49      1.096487e+00      1.103659e+00      3.410528e-03
          50      1.093973e+00      1.103465e+00      3.347815e-03
