#     BLOCK:      ACTUAL_X:        X_AVE:          ERROR:
           1     -3.792238e+00     -3.792238e+00      0.000000e+00
           2     -3.791125e+00     -3.791681e+00      3.933500e-04
           3     -3.791333e+00     -3.791565e+00      2.788912e-04
           4     -3.788617e+00     -3.790828e+00      6.716751e-04
           5     -3.790730e+00     -3.790809e+00      5.376279e-04
           6     -3.791591e+00     -3.790939e+00      4.635651e-04
           7     -3.792949e+00     -3.791226e+00      4.780579e-04
           8     -3.791130e+00     -3.791214e+00      4.184504e-04
           9     -3.791290e+00     -3.791223e+00      3.720415e-04
          10     -3.792321e+00     -3.791332e+00      3.506891e-04
          11     -3.788285e+00     -3.791055e+00      4.140386e-04
          12     -3.789150e+00     -3.790897e+00      4.088395e-04
          13     -3.792292e+00     -3.791004e+00      3.912363e-04
          14     -3.791897e+00     -3.791068e+00      3.684583e-04
          15     -3.793697e+00     -3.791243e+00      3.833120e-04
          16     -3.788961e+00     -3.791100e+00      3.849740e-04
          17     -3.792682e+00     -3.791193e+00      3.734024e-04
          18     -3.790773e+00     -3.791170e+00      3.533874e-04
          19     -3.792124e+00     -3.791220e+00      3.383376e-04
          20     -3.792650e+00     -3.791292e+00      3.288828e-04
          21     -3.791236e+00     -3.791289e+00      3.132325e-04
          22     -3.791888e+00     -3.791316e+00      3.001766e-04
          23     -3.790277e+00     -3.791271e+00      2.905058e-04
          24     -3.792431e+00     -3.791320e+00      2.823938e-04
          25     -3.793982e+00     -3.791426e+00      2.904909e-04
          26     -3.792901e+00     -3.791483e+00      2.848010e-04
          27     -3.793108e+00     -3.791543e+00      2.805425e-04
          28     -3.791865e+00     -3.791554e+00      2.707590e-04
          29     -3.790782e+00     -3.791528e+00      2.627283e-04
          30     -3.792772e+00     -3.791569e+00      2.572236e-04
          31     -3.792697e+00     -3.791606e+00      2.514862e-04
          32     -3.791454e+00     -3.791601e+00      2.436716e-04
          33     -3.794156e+00     -3.791678e+00      2.482874e-04
          34     -3.793718e+00     -3.791738e+00      2.481262e-04
          35     -3.792891e+00     -3.791771e+00      2.432119e-04
          36     -3.790941e+00     -3.791748e+00      2.375467e-04
          37     -3.792538e+00     -3.791770e+00      2.320836e-04
          38     -3.792315e+00     -3.791784e+00      2.264201e-04
          39     -3.790159e+00     -3.791742e+00      2.244160e-04
          40     -3.793059e+00     -3.791775e+00      2.212069e-04
          41     -3.789987e+00     -3.791732e+00      2.200709e-04
          42     -3.792314e+00     -3.791745e+00      2.152679e-04
          43     -3.793388e+00     -3.791784e+00      2.136224e-04
          44     -3.792387e+00     -3.791797e+00      2.092075e-04
          45     -3.792474e+00     -3.791812e+00      2.050974e-04
          46     -3.789582e+00     -3.791764e+00      2.062882e-04
          47     -3.794971e+00     -3.791832e+00      2.128849e-04
          48     -3.792874e+00     -3.791854e+00      2.095529e-04
          49     -3.790548e+00     -3.791827e+00      2.069642e-04
          50     -3.789611e+00     -3.791783e+00      2.075174e-04
