#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1      1.196111e+00      1.196111e+00      0.000000e+00
           2      1.207055e+00      1.201583e+00      3.869318e-03
           3      1.207615e+00      1.203594e+00      3.057563e-03
           4      1.208289e+00      1.204768e+00      2.508375e-03
           5      1.214544e+00      1.206723e+00      2.661774e-03
           6      1.206476e+00      1.206682e+00      2.218463e-03
           7      1.201774e+00      1.205981e+00      2.009254e-03
           8      1.209708e+00      1.206447e+00      1.811323e-03
           9      1.205945e+00      1.206391e+00      1.610923e-03
          10      1.214575e+00      1.207209e+00      1.644650e-03
          11      1.204143e+00      1.206930e+00      1.518574e-03
          12      1.213609e+00      1.207487e+00      1.490537e-03
          13      1.208945e+00      1.207599e+00      1.380094e-03
          14      1.208436e+00      1.207659e+00      1.282809e-03
          15      1.211094e+00      1.207888e+00      1.217560e-03
          16      1.200211e+00      1.207408e+00      1.232380e-03
          17      1.206188e+00      1.207336e+00      1.161973e-03
          18      1.214118e+00      1.207713e+00      1.156887e-03
          19      1.208912e+00      1.207776e+00      1.097717e-03
          20      1.207333e+00      1.207754e+00      1.043054e-03
          21      1.217417e+00      1.208214e+00      1.090161e-03
          22      1.197775e+00      1.207740e+00      1.139212e-03
          23      1.197119e+00      1.207278e+00      1.179565e-03
          24      1.205399e+00      1.207200e+00      1.133013e-03
          25      1.212427e+00      1.207409e+00      1.106816e-03
          26      1.192141e+00      1.206822e+00      1.210045e-03
          27      1.216362e+00      1.207175e+00      1.215727e-03
          28      1.207275e+00      1.207178e+00      1.172313e-03
          29      1.198770e+00      1.206889e+00      1.167192e-03
          30      1.223083e+00      1.207428e+00      1.246876e-03
          31      1.190482e+00      1.206882e+00      1.321067e-03
          32      1.219777e+00      1.207285e+00      1.339838e-03
          33      1.202176e+00      1.207130e+00      1.308149e-03
          34      1.200203e+00      1.206926e+00      1.285440e-03
          35      1.215563e+00      1.207173e+00      1.272180e-03
          36      1.208639e+00      1.207214e+00      1.237494e-03
          37      1.202380e+00      1.207083e+00      1.210922e-03
          38      1.205451e+00      1.207040e+00      1.179817e-03
          39      1.211794e+00      1.207162e+00      1.155846e-03
          40      1.205405e+00      1.207118e+00      1.127784e-03
          41      1.218988e+00      1.207408e+00      1.136833e-03
          42      1.189045e+00      1.206970e+00      1.190875e-03
          43      1.229510e+00      1.207494e+00      1.273332e-03
          44      1.200392e+00      1.207333e+00      1.254581e-03
          45      1.201557e+00      1.207205e+00      1.233251e-03
          46      1.223369e+00      1.207556e+00      1.255508e-03
          47      1.197765e+00      1.207348e+00      1.245959e-03
          48      1.198205e+00      1.207157e+00      1.234474e-03
          49      1.219899e+00      1.207417e+00      1.236364e-03
          50      1.199228e+00      1.207254e+00      1.222437e-03
