#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -7.508815e+00     -7.508815e+00      0.000000e+00
           2     -7.518280e+00     -7.513548e+00      3.346207e-03
           3     -7.520290e+00     -7.515795e+00      2.888495e-03
           4     -7.519828e+00     -7.516803e+00      2.335740e-03
           5     -7.525387e+00     -7.518520e+00      2.418523e-03
           6     -7.516627e+00     -7.518204e+00      2.035915e-03
           7     -7.512461e+00     -7.517384e+00      1.903260e-03
           8     -7.520193e+00     -7.517735e+00      1.697443e-03
           9     -7.516849e+00     -7.517637e+00      1.511689e-03
          10     -7.525769e+00     -7.518450e+00      1.564062e-03
          11     -7.514248e+00     -7.518068e+00      1.467790e-03
          12     -7.524788e+00     -7.518628e+00      1.448378e-03
          13     -7.519246e+00     -7.518675e+00      1.337744e-03
          14     -7.518329e+00     -7.518651e+00      1.242419e-03
          15     -7.521762e+00     -7.518858e+00      1.176781e-03
          16     -7.510815e+00     -7.518355e+00      1.205835e-03
          17     -7.516574e+00     -7.518251e+00      1.139449e-03
          18     -7.523426e+00     -7.518538e+00      1.111827e-03
          19     -7.519439e+00     -7.518586e+00      1.054321e-03
          20     -7.519979e+00     -7.518655e+00      1.003903e-03
          21     -7.529418e+00     -7.519168e+00      1.079010e-03
          22     -7.507894e+00     -7.518655e+00      1.145202e-03
          23     -7.507669e+00     -7.518178e+00      1.190869e-03
          24     -7.516272e+00     -7.518098e+00      1.143895e-03
          25     -7.524102e+00     -7.518338e+00      1.123067e-03
          26     -7.502873e+00     -7.517744e+00      1.227329e-03
          27     -7.527126e+00     -7.518091e+00      1.230082e-03
          28     -7.518379e+00     -7.518101e+00      1.186194e-03
          29     -7.509815e+00     -7.517816e+00      1.179205e-03
          30     -7.533155e+00     -7.518327e+00      1.245829e-03
          31     -7.500836e+00     -7.517763e+00      1.327264e-03
          32     -7.529780e+00     -7.518138e+00      1.337857e-03
          33     -7.511800e+00     -7.517946e+00      1.311032e-03
          34     -7.510643e+00     -7.517731e+00      1.289948e-03
          35     -7.526434e+00     -7.517980e+00      1.276833e-03
          36     -7.519855e+00     -7.518032e+00      1.242427e-03
          37     -7.512683e+00     -7.517887e+00      1.217231e-03
          38     -7.515052e+00     -7.517813e+00      1.187484e-03
          39     -7.522094e+00     -7.517923e+00      1.162099e-03
          40     -7.515705e+00     -7.517867e+00      1.134368e-03
          41     -7.529702e+00     -7.518156e+00      1.142835e-03
          42     -7.498524e+00     -7.517688e+00      1.207432e-03
          43     -7.539652e+00     -7.518199e+00      1.282848e-03
          44     -7.511010e+00     -7.518036e+00      1.264056e-03
          45     -7.511344e+00     -7.517887e+00      1.244681e-03
          46     -7.534930e+00     -7.518258e+00      1.271568e-03
          47     -7.507914e+00     -7.518038e+00      1.263414e-03
          48     -7.508207e+00     -7.517833e+00      1.253582e-03
          49     -7.531700e+00     -7.518116e+00      1.259538e-03
          50     -7.508550e+00     -7.517924e+00      1.248792e-03
