#     BLOCK:      ACTUAL_X:        X_AVE:          ERROR:
           1     -6.312704e+00     -6.312704e+00      0.000000e+00
           2     -6.311225e+00     -6.311964e+00      5.231114e-04
           3     -6.312675e+00     -6.312201e+00      3.987683e-04
           4     -6.311539e+00     -6.312036e+00      3.316318e-04
           5     -6.310843e+00     -6.311797e+00      3.404279e-04
           6     -6.310151e+00     -6.311523e+00      3.784271e-04
           7     -6.310686e+00     -6.311403e+00      3.427222e-04
           8     -6.310485e+00     -6.311289e+00      3.185258e-04
           9     -6.310905e+00     -6.311246e+00      2.859752e-04
          10     -6.311194e+00     -6.311241e+00      2.574243e-04
          11     -6.310105e+00     -6.311137e+00      2.538996e-04
          12     -6.311179e+00     -6.311141e+00      2.327648e-04
          13     -6.310300e+00     -6.311076e+00      2.236581e-04
          14     -6.309894e+00     -6.310992e+00      2.230621e-04
          15     -6.310668e+00     -6.310970e+00      2.092328e-04
          16     -6.310604e+00     -6.310947e+00      1.974050e-04
          17     -6.310385e+00     -6.310914e+00      1.885409e-04
          18     -6.309308e+00     -6.310825e+00      1.980658e-04
          19     -6.310528e+00     -6.310809e+00      1.882588e-04
          20     -6.312645e+00     -6.310901e+00      1.999792e-04
          21     -6.312001e+00     -6.310953e+00      1.971919e-04
          22     -6.310119e+00     -6.310916e+00      1.918399e-04
          23     -6.310550e+00     -6.310900e+00      1.841556e-04
          24     -6.310873e+00     -6.310899e+00      1.764857e-04
          25     -6.311676e+00     -6.310930e+00      1.721409e-04
          26     -6.310732e+00     -6.310922e+00      1.656873e-04
          27     -6.310764e+00     -6.310916e+00      1.596543e-04
          28     -6.311104e+00     -6.310923e+00      1.540927e-04
          29     -6.311045e+00     -6.310927e+00      1.488363e-04
          30     -6.310072e+00     -6.310899e+00      1.465768e-04
          31     -6.310355e+00     -6.310881e+00      1.428941e-04
          32     -6.310003e+00     -6.310854e+00      1.410413e-04
          33     -6.309624e+00     -6.310816e+00      1.416063e-04
          34     -6.310440e+00     -6.310805e+00      1.378732e-04
          35     -6.310871e+00     -6.310807e+00      1.339468e-04
          36     -6.311216e+00     -6.310818e+00      1.307075e-04
          37     -6.310302e+00     -6.310805e+00      1.279176e-04
          38     -6.309601e+00     -6.310773e+00      1.284134e-04
          39     -6.310300e+00     -6.310761e+00      1.256918e-04
          40     -6.310300e+00     -6.310749e+00      1.230761e-04
          41     -6.310713e+00     -6.310748e+00      1.200774e-04
          42     -6.309480e+00     -6.310718e+00      1.209565e-04
          43     -6.310141e+00     -6.310705e+00      1.188848e-04
          44     -6.310617e+00     -6.310703e+00      1.161995e-04
          45     -6.309788e+00     -6.310682e+00      1.153828e-04
          46     -6.311561e+00     -6.310702e+00      1.144429e-04
          47     -6.310150e+00     -6.310690e+00      1.126088e-04
          48     -6.310002e+00     -6.310675e+00      1.111708e-04
          49     -6.311801e+00     -6.310698e+00      1.112498e-04
          50     -6.309322e+00     -6.310671e+00      1.123794e-04
