# DISTANCE:     AVE_GOFR:        ERROR:
0.000000e+00      0.000000e+00      0.000000e+00
6.463304e-02      0.000000e+00      0.000000e+00
1.292661e-01      0.000000e+00      0.000000e+00
1.938991e-01      0.000000e+00      0.000000e+00
2.585322e-01      0.000000e+00      0.000000e+00
3.231652e-01      0.000000e+00      0.000000e+00
3.877982e-01      0.000000e+00      0.000000e+00
4.524313e-01      0.000000e+00      0.000000e+00
5.170643e-01      0.000000e+00      0.000000e+00
5.816974e-01      0.000000e+00      0.000000e+00
6.463304e-01      0.000000e+00      0.000000e+00
7.109634e-01      0.000000e+00      0.000000e+00
7.755965e-01      0.000000e+00      0.000000e+00
8.402295e-01      9.698656e-04      8.145602e-05
9.048626e-01      1.460111e-01      1.074071e-03
9.694956e-01      1.059325e+00      3.179691e-03
1.034129e+00      2.040649e+00      5.569322e-03
1.098762e+00      2.265982e+00      4.754449e-03
1.163395e+00      2.086467e+00      5.090964e-03
1.228028e+00      1.825087e+00      4.473706e-03
1.292661e+00      1.616725e+00      3.082847e-03
1.357294e+00      1.452870e+00      2.744399e-03
1.421927e+00      1.336269e+00      3.099406e-03
1.486560e+00      1.253858e+00      2.383052e-03
1.551193e+00      1.188944e+00      1.944271e-03
1.615826e+00      1.141053e+00      2.201053e-03
1.680459e+00      1.112032e+00      1.896669e-03
1.745092e+00      1.089753e+00      1.647904e-03
1.809725e+00      1.075198e+00      1.514738e-03
1.874358e+00      1.066271e+00      1.755205e-03
1.938991e+00      1.059503e+00      1.363353e-03
2.003624e+00      1.056373e+00      1.514885e-03
2.068257e+00      1.055426e+00      1.468897e-03
2.132890e+00      1.051303e+00      1.555705e-03
2.197523e+00      1.049225e+00      1.270722e-03
2.262156e+00      1.045943e+00      1.324548e-03
2.326789e+00      1.036597e+00      1.205700e-03
2.391423e+00      1.032189e+00      1.202648e-03
2.456056e+00      1.025202e+00      1.177886e-03
2.520689e+00      1.021079e+00      9.996184e-04
2.585322e+00      1.017962e+00      1.028000e-03
2.649955e+00      1.014088e+00      1.118172e-03
2.714588e+00      1.009777e+00      9.127107e-04
2.779221e+00      1.004939e+00      1.162658e-03
2.843854e+00      1.005340e+00      1.029140e-03
2.908487e+00      1.003107e+00      1.027790e-03
2.973120e+00      1.001556e+00      1.056095e-03
3.037753e+00      9.999561e-01      9.051029e-04
3.102386e+00      9.984819e-01      1.074041e-03
3.167019e+00      9.985277e-01      9.047356e-04
3.231652e+00      9.956411e-01      9.696737e-04
3.296285e+00      9.964849e-01      9.581643e-04
3.360918e+00      9.948638e-01      9.536668e-04
3.425551e+00      9.935834e-01      8.094521e-04
3.490184e+00      9.935802e-01      9.000155e-04
3.554817e+00      9.918101e-01      8.933547e-04
3.619450e+00      9.923827e-01      7.500644e-04
3.684083e+00      9.903616e-01      6.806016e-04
3.748716e+00      9.902863e-01      7.053976e-04
3.813349e+00      9.904848e-01      7.592839e-04
3.877982e+00      9.898368e-01      6.768820e-04
3.942615e+00      9.895312e-01      8.804266e-04
4.007249e+00      9.890009e-01      7.431419e-04
4.071882e+00      9.890898e-01      6.638806e-04
4.136515e+00      9.874017e-01      7.918051e-04
4.201148e+00      9.891175e-01      5.714846e-04
4.265781e+00      9.888559e-01      7.143146e-04
4.330414e+00      9.878392e-01      7.528981e-04
4.395047e+00      9.869899e-01      6.805103e-04
4.459680e+00      9.875934e-01      6.707910e-04
4.524313e+00      9.881079e-01      6.441401e-04
4.588946e+00      9.882107e-01      6.718831e-04
4.653579e+00      9.865376e-01      5.202850e-04
4.718212e+00      9.878406e-01      6.006223e-04
4.782845e+00      9.854749e-01      5.718073e-04
4.847478e+00      9.874295e-01      6.977063e-04
4.912111e+00      9.867854e-01      5.439962e-04
4.976744e+00      9.873208e-01      6.031337e-04
5.041377e+00      9.860989e-01      5.383421e-04
5.106010e+00      9.862157e-01      6.644637e-04
5.170643e+00      9.860867e-01      6.352703e-04
5.235276e+00      9.865599e-01      5.252235e-04
5.299909e+00      9.867719e-01      5.643784e-04
5.364542e+00      9.860814e-01      5.770570e-04
5.429175e+00      9.865548e-01      4.880528e-04
5.493808e+00      9.861829e-01      4.397987e-04
5.558442e+00      9.858560e-01      5.492299e-04
5.623075e+00      9.864344e-01      5.290281e-04
5.687708e+00      9.860940e-01      4.927832e-04
5.752341e+00      9.858743e-01      5.079043e-04
5.816974e+00      9.861861e-01      4.450118e-04
5.881607e+00      9.855084e-01      4.761425e-04
5.946240e+00      9.870749e-01      4.348938e-04
6.010873e+00      9.854756e-01      5.175607e-04
6.075506e+00      9.870436e-01      5.572597e-04
6.140139e+00      9.856627e-01      4.825404e-04
6.204772e+00      9.857719e-01      4.930217e-04
6.269405e+00      9.847127e-01      3.982202e-04
6.334038e+00      9.857482e-01      4.535601e-04
6.398671e+00      9.862652e-01      4.699354e-04
