#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -4.128384e-01     -4.128384e-01      0.000000e+00
           2     -4.108042e-01     -4.118213e-01      7.192267e-04
           3     -4.126220e-01     -4.120882e-01      5.266777e-04
           4     -4.180638e-01     -4.135821e-01      1.352708e-03
           5     -4.144326e-01     -4.137522e-01      1.092810e-03
           6     -4.147300e-01     -4.139152e-01      9.227474e-04
           7     -4.136552e-01     -4.138780e-01      7.916731e-04
           8     -4.150789e-01     -4.140281e-01      7.068018e-04
           9     -4.139746e-01     -4.140222e-01      6.282933e-04
          10     -4.112355e-01     -4.137435e-01      6.242112e-04
          11     -4.151177e-01     -4.138684e-01      5.798299e-04
          12     -4.141353e-01     -4.138907e-01      5.319371e-04
          13     -4.102070e-01     -4.136073e-01      5.614415e-04
          14     -4.136381e-01     -4.136095e-01      5.213428e-04
          15     -4.139377e-01     -4.136314e-01      4.870454e-04
          16     -4.187334e-01     -4.139503e-01      5.511923e-04
          17     -4.124068e-01     -4.138595e-01      5.261942e-04
          18     -4.159944e-01     -4.139781e-01      5.101529e-04
          19     -4.141718e-01     -4.139883e-01      4.834046e-04
          20     -4.129133e-01     -4.139345e-01      4.622128e-04
          21     -4.166615e-01     -4.140644e-01      4.580806e-04
          22     -4.167805e-01     -4.141878e-01      4.535907e-04
          23     -4.186662e-01     -4.143826e-01      4.738212e-04
          24     -4.182060e-01     -4.145419e-01      4.801147e-04
          25     -4.179211e-01     -4.146770e-01      4.795608e-04
          26     -4.117790e-01     -4.145656e-01      4.738927e-04
          27     -4.096774e-01     -4.143845e-01      4.897041e-04
          28     -4.135114e-01     -4.143533e-01      4.732064e-04
          29     -4.145746e-01     -4.143610e-01      4.569505e-04
          30     -4.136290e-01     -4.143366e-01      4.423698e-04
          31     -4.188629e-01     -4.144826e-01      4.515542e-04
          32     -4.114713e-01     -4.143885e-01      4.471409e-04
          33     -4.130932e-01     -4.143492e-01      4.353106e-04
          34     -4.108297e-01     -4.142457e-01      4.346407e-04
          35     -4.129741e-01     -4.142094e-01      4.237382e-04
          36     -4.129784e-01     -4.141752e-01      4.133450e-04
          37     -4.147471e-01     -4.141907e-01      4.024625e-04
          38     -4.146469e-01     -4.142027e-01      3.920504e-04
          39     -4.106508e-01     -4.141116e-01      3.924334e-04
          40     -4.110087e-01     -4.140340e-01      3.902143e-04
          41     -4.171593e-01     -4.141102e-01      3.880705e-04
          42     -4.134933e-01     -4.140955e-01      3.791087e-04
          43     -4.150611e-01     -4.141180e-01      3.709566e-04
          44     -4.170377e-01     -4.141844e-01      3.684130e-04
          45     -4.124258e-01     -4.141453e-01      3.622927e-04
          46     -4.142931e-01     -4.141485e-01      3.544310e-04
          47     -4.106956e-01     -4.140750e-01      3.544221e-04
          48     -4.147769e-01     -4.140897e-01      3.473398e-04
          49     -4.111812e-01     -4.140303e-01      3.452857e-04
          50     -4.184249e-01     -4.141182e-01      3.493872e-04
