#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1      4.225867e-02      4.225867e-02      0.000000e+00
           2      4.225656e-02      4.225762e-02      7.465610e-07
           3      4.279894e-02      4.243806e-02      1.473289e-04
           4      4.243107e-02      4.243631e-02      1.105070e-04
           5      4.256695e-02      4.246244e-02      9.144234e-05
           6      4.223203e-02      4.242404e-02      8.387884e-05
           7      4.273598e-02      4.246860e-02      8.289286e-05
           8      4.273492e-02      4.250189e-02      7.893354e-05
           9      4.277293e-02      4.253201e-02      7.569042e-05
          10      4.285719e-02      4.256452e-02      7.478131e-05
          11      4.229521e-02      4.254004e-02      7.187917e-05
          12      4.323408e-02      4.259788e-02      8.606784e-05
          13      4.239030e-02      4.258191e-02      8.091483e-05
          14      4.282200e-02      4.259906e-02      7.693108e-05
          15      4.252346e-02      4.259402e-02      7.196724e-05
          16      4.252092e-02      4.258945e-02      6.761415e-05
          17      4.280062e-02      4.260187e-02      6.476783e-05
          18      4.309563e-02      4.262930e-02      6.672618e-05
          19      4.229454e-02      4.261168e-02      6.549922e-05
          20      4.289526e-02      4.262586e-02      6.374046e-05
          21      4.262085e-02      4.262562e-02      6.070564e-05
          22      4.228501e-02      4.261014e-02      5.988815e-05
          23      4.203683e-02      4.258522e-02      6.225602e-05
          24      4.240399e-02      4.257766e-02      6.011820e-05
          25      4.211060e-02      4.255898e-02      6.054690e-05
          26      4.267420e-02      4.256341e-02      5.838011e-05
          27      4.306020e-02      4.258181e-02      5.904620e-05
          28      4.248351e-02      4.257830e-02      5.704170e-05
          29      4.279091e-02      4.258563e-02      5.554389e-05
          30      4.313660e-02      4.260400e-02      5.664735e-05
          31      4.229275e-02      4.259396e-02      5.570268e-05
          32      4.270702e-02      4.259749e-02      5.407390e-05
          33      4.242730e-02      4.259233e-02      5.268067e-05
          34      4.237185e-02      4.258585e-02      5.152883e-05
          35      4.235442e-02      4.257924e-02      5.047904e-05
          36      4.291721e-02      4.258863e-02      4.994220e-05
          37      4.246509e-02      4.258529e-02      4.870388e-05
          38      4.248170e-02      4.258256e-02      4.749843e-05
          39      4.269109e-02      4.258534e-02      4.636197e-05
          40      4.262906e-02      4.258644e-02      4.521580e-05
          41      4.266666e-02      4.258839e-02      4.415529e-05
          42      4.242534e-02      4.258451e-02      4.327431e-05
          43      4.230492e-02      4.257801e-02      4.275362e-05
          44      4.265630e-02      4.257979e-02      4.181896e-05
          45      4.281138e-02      4.258493e-02      4.120511e-05
          46      4.267551e-02      4.258690e-02      4.035636e-05
          47      4.309482e-02      4.259771e-02      4.091907e-05
          48      4.283396e-02      4.260263e-02      4.036152e-05
          49      4.241984e-02      4.259890e-02      3.970984e-05
          50      4.238057e-02      4.259453e-02      3.915500e-05
