#     BLOCK:      ACTUAL_X:        X_AVE:          ERROR:
           1      1.387162e+00      1.387162e+00      0.000000e+00
           2      1.389196e+00      1.388179e+00      7.192267e-04
           3      1.387378e+00      1.387912e+00      5.266777e-04
           4      1.381936e+00      1.386418e+00      1.352708e-03
           5      1.385567e+00      1.386248e+00      1.092810e-03
           6      1.385270e+00      1.386085e+00      9.227474e-04
           7      1.386345e+00      1.386122e+00      7.916731e-04
           8      1.384921e+00      1.385972e+00      7.068018e-04
           9      1.386025e+00      1.385978e+00      6.282933e-04
          10      1.388764e+00      1.386256e+00      6.242112e-04
          11      1.384882e+00      1.386132e+00      5.798299e-04
          12      1.385865e+00      1.386109e+00      5.319371e-04
          13      1.389793e+00      1.386393e+00      5.614415e-04
          14      1.386362e+00      1.386390e+00      5.213428e-04
          15      1.386062e+00      1.386369e+00      4.870454e-04
          16      1.381267e+00      1.386050e+00      5.511923e-04
          17      1.387593e+00      1.386141e+00      5.261942e-04
          18      1.384006e+00      1.386022e+00      5.101529e-04
          19      1.385828e+00      1.386012e+00      4.834046e-04
          20      1.387087e+00      1.386065e+00      4.622128e-04
          21      1.383339e+00      1.385936e+00      4.580806e-04
          22      1.383220e+00      1.385812e+00      4.535907e-04
          23      1.381334e+00      1.385617e+00      4.738212e-04
          24      1.381794e+00      1.385458e+00      4.801147e-04
          25      1.382079e+00      1.385323e+00      4.795608e-04
          26      1.388221e+00      1.385434e+00      4.738927e-04
          27      1.390323e+00      1.385615e+00      4.897041e-04
          28      1.386489e+00      1.385647e+00      4.732064e-04
          29      1.385425e+00      1.385639e+00      4.569505e-04
          30      1.386371e+00      1.385663e+00      4.423698e-04
          31      1.381137e+00      1.385517e+00      4.515542e-04
          32      1.388529e+00      1.385612e+00      4.471409e-04
          33      1.386907e+00      1.385651e+00      4.353106e-04
          34      1.389170e+00      1.385754e+00      4.346407e-04
          35      1.387026e+00      1.385791e+00      4.237382e-04
          36      1.387022e+00      1.385825e+00      4.133450e-04
          37      1.385253e+00      1.385809e+00      4.024625e-04
          38      1.385353e+00      1.385797e+00      3.920504e-04
          39      1.389349e+00      1.385888e+00      3.924334e-04
          40      1.388991e+00      1.385966e+00      3.902143e-04
          41      1.382841e+00      1.385890e+00      3.880705e-04
          42      1.386507e+00      1.385904e+00      3.791087e-04
          43      1.384939e+00      1.385882e+00      3.709566e-04
          44      1.382962e+00      1.385816e+00      3.684130e-04
          45      1.387574e+00      1.385855e+00      3.622927e-04
          46      1.385707e+00      1.385852e+00      3.544310e-04
          47      1.389304e+00      1.385925e+00      3.544221e-04
          48      1.385223e+00      1.385910e+00      3.473398e-04
          49      1.388819e+00      1.385970e+00      3.452857e-04
          50      1.381575e+00      1.385882e+00      3.493872e-04
