# DISTANCE:     AVE_GOFR:        ERROR:
0.000000e+00      0.000000e+00      0.000000e+00
2.564964e-02      0.000000e+00      0.000000e+00
5.129928e-02      0.000000e+00      0.000000e+00
7.694892e-02      0.000000e+00      0.000000e+00
1.025986e-01      0.000000e+00      0.000000e+00
1.282482e-01      0.000000e+00      0.000000e+00
1.538978e-01      0.000000e+00      0.000000e+00
1.795475e-01      0.000000e+00      0.000000e+00
2.051971e-01      0.000000e+00      0.000000e+00
2.308468e-01      0.000000e+00      0.000000e+00
2.564964e-01      0.000000e+00      0.000000e+00
2.821460e-01      0.000000e+00      0.000000e+00
3.077957e-01      0.000000e+00      0.000000e+00
3.334453e-01      0.000000e+00      0.000000e+00
3.590949e-01      0.000000e+00      0.000000e+00
3.847446e-01      0.000000e+00      0.000000e+00
4.103942e-01      0.000000e+00      0.000000e+00
4.360439e-01      0.000000e+00      0.000000e+00
4.616935e-01      0.000000e+00      0.000000e+00
4.873431e-01      0.000000e+00      0.000000e+00
5.129928e-01      0.000000e+00      0.000000e+00
5.386424e-01      0.000000e+00      0.000000e+00
5.642921e-01      0.000000e+00      0.000000e+00
5.899417e-01      0.000000e+00      0.000000e+00
6.155913e-01      0.000000e+00      0.000000e+00
6.412410e-01      0.000000e+00      0.000000e+00
6.668906e-01      0.000000e+00      0.000000e+00
6.925403e-01      0.000000e+00      0.000000e+00
7.181899e-01      0.000000e+00      0.000000e+00
7.438395e-01      0.000000e+00      0.000000e+00
7.694892e-01      0.000000e+00      0.000000e+00
7.951388e-01      0.000000e+00      0.000000e+00
8.207885e-01      0.000000e+00      0.000000e+00
8.464381e-01      1.458922e-05      5.192341e-06
8.720877e-01      1.226099e-03      4.829670e-05
8.977374e-01      2.416730e-02      2.585400e-04
9.233870e-01      1.639060e-01      6.815632e-04
9.490367e-01      5.633374e-01      1.704548e-03
9.746863e-01      1.196256e+00      2.530589e-03
1.000336e+00      1.860983e+00      2.963476e-03
1.025986e+00      2.334318e+00      2.231338e-03
1.051635e+00      2.551789e+00      2.125062e-03
1.077285e+00      2.549821e+00      1.960475e-03
1.102934e+00      2.409251e+00      1.802762e-03
1.128584e+00      2.203276e+00      2.004083e-03
1.154234e+00      1.973680e+00      2.220666e-03
1.179883e+00      1.757795e+00      2.275558e-03
1.205533e+00      1.559459e+00      2.388014e-03
1.231183e+00      1.388425e+00      1.817584e-03
1.256832e+00      1.247481e+00      1.780478e-03
1.282482e+00      1.126184e+00      1.500538e-03
1.308132e+00      1.024288e+00      1.592389e-03
1.333781e+00      9.421721e-01      1.439135e-03
1.359431e+00      8.746951e-01      1.164706e-03
1.385081e+00      8.178692e-01      1.091582e-03
1.410730e+00      7.741726e-01      1.021308e-03
1.436380e+00      7.383176e-01      1.076470e-03
1.462029e+00      7.114010e-01      1.120830e-03
1.487679e+00      6.910132e-01      9.722364e-04
1.513329e+00      6.779087e-01      8.823844e-04
1.538978e+00      6.710069e-01      8.320199e-04
1.564628e+00      6.707230e-01      9.293422e-04
1.590278e+00      6.750721e-01      1.122538e-03
1.615927e+00      6.844290e-01      1.004500e-03
1.641577e+00      7.007189e-01      8.093850e-04
1.667227e+00      7.222609e-01      9.674685e-04
1.692876e+00      7.478576e-01      1.019002e-03
1.718526e+00      7.789089e-01      1.162135e-03
1.744175e+00      8.142859e-01      1.096706e-03
1.769825e+00      8.514225e-01      8.634829e-04
1.795475e+00      8.925088e-01      1.097976e-03
1.821124e+00      9.347953e-01      9.927372e-04
1.846774e+00      9.768766e-01      9.784828e-04
1.872424e+00      1.019839e+00      1.118308e-03
1.898073e+00      1.057914e+00      1.056505e-03
1.923723e+00      1.096069e+00      1.321551e-03
1.949373e+00      1.128788e+00      1.018834e-03
1.975022e+00      1.162597e+00      9.313570e-04
2.000672e+00      1.186382e+00      1.017850e-03
2.026321e+00      1.203800e+00      1.001353e-03
2.051971e+00      1.214468e+00      1.013257e-03
2.077621e+00      1.216807e+00      1.033126e-03
2.103270e+00      1.210324e+00      9.773092e-04
2.128920e+00      1.195448e+00      1.022418e-03
2.154570e+00      1.175613e+00      9.705572e-04
2.180219e+00      1.153086e+00      1.029120e-03
2.205869e+00      1.124717e+00      9.060041e-04
2.231519e+00      1.096781e+00      9.830644e-04
2.257168e+00      1.067020e+00      8.679965e-04
2.282818e+00      1.039653e+00      9.477140e-04
2.308468e+00      1.012660e+00      7.448032e-04
2.334117e+00      9.883859e-01      9.256980e-04
2.359767e+00      9.657340e-01      7.450524e-04
2.385416e+00      9.471027e-01      8.334197e-04
2.411066e+00      9.309899e-01      6.767854e-04
2.436716e+00      9.174476e-01      8.109791e-04
2.462365e+00      9.082027e-01      7.202711e-04
2.488015e+00      8.936974e-01      7.481126e-04
2.513665e+00      8.849970e-01      8.039145e-04
2.539314e+00      8.844685e-01      8.813861e-04
