#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -5.487875e+00     -5.487875e+00      0.000000e+00
           2     -5.459631e+00     -5.473753e+00      9.985836e-03
           3     -5.448904e+00     -5.465470e+00      9.489885e-03
           4     -5.466593e+00     -5.465751e+00      7.121564e-03
           5     -5.473697e+00     -5.467340e+00      5.871882e-03
           6     -5.458846e+00     -5.465924e+00      5.061020e-03
           7     -5.488469e+00     -5.469145e+00      5.263982e-03
           8     -5.461628e+00     -5.468205e+00      4.689105e-03
           9     -5.451514e+00     -5.466351e+00      4.519999e-03
          10     -5.470578e+00     -5.466774e+00      4.087718e-03
          11     -5.459140e+00     -5.466080e+00      3.774547e-03
          12     -5.455600e+00     -5.465206e+00      3.559592e-03
          13     -5.480608e+00     -5.466391e+00      3.477358e-03
          14     -5.458266e+00     -5.465811e+00      3.277044e-03
          15     -5.461611e+00     -5.465531e+00      3.070513e-03
          16     -5.470002e+00     -5.465810e+00      2.891293e-03
          17     -5.473849e+00     -5.466283e+00      2.759611e-03
          18     -5.478732e+00     -5.466975e+00      2.691568e-03
          19     -5.477414e+00     -5.467524e+00      2.605384e-03
          20     -5.476712e+00     -5.467983e+00      2.515289e-03
          21     -5.474294e+00     -5.468284e+00      2.413396e-03
          22     -5.462641e+00     -5.468027e+00      2.317286e-03
          23     -5.462796e+00     -5.467800e+00      2.227669e-03
          24     -5.478207e+00     -5.468234e+00      2.176640e-03
          25     -5.478880e+00     -5.468659e+00      2.130828e-03
          26     -5.457633e+00     -5.468235e+00      2.090650e-03
          27     -5.490589e+00     -5.469063e+00      2.170969e-03
          28     -5.468787e+00     -5.469053e+00      2.093457e-03
          29     -5.466592e+00     -5.468969e+00      2.022989e-03
          30     -5.450265e+00     -5.468345e+00      2.049377e-03
          31     -5.479433e+00     -5.468703e+00      2.014238e-03
          32     -5.490177e+00     -5.469374e+00      2.060049e-03
          33     -5.450946e+00     -5.468815e+00      2.071928e-03
          34     -5.472457e+00     -5.468923e+00      2.013755e-03
          35     -5.458720e+00     -5.468631e+00      1.977207e-03
          36     -5.469171e+00     -5.468646e+00      1.922341e-03
          37     -5.469908e+00     -5.468680e+00      1.870689e-03
          38     -5.469373e+00     -5.468698e+00      1.821549e-03
          39     -5.473308e+00     -5.468817e+00      1.778672e-03
          40     -5.477923e+00     -5.469044e+00      1.748713e-03
          41     -5.459671e+00     -5.468816e+00      1.720941e-03
          42     -5.451999e+00     -5.468415e+00      1.725915e-03
          43     -5.464330e+00     -5.468320e+00      1.688390e-03
          44     -5.448982e+00     -5.467881e+00      1.706264e-03
          45     -5.465089e+00     -5.467819e+00      1.669474e-03
          46     -5.470933e+00     -5.467886e+00      1.634554e-03
          47     -5.441099e+00     -5.467316e+00      1.696233e-03
          48     -5.477842e+00     -5.467536e+00      1.675009e-03
          49     -5.467275e+00     -5.467530e+00      1.640834e-03
          50     -5.447085e+00     -5.467121e+00      1.658186e-03
