#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1      1.084542e+00      1.084542e+00      0.000000e+00
           2      1.257379e+00      1.170961e+00      6.110702e-02
           3      1.312644e+00      1.218188e+00      5.609417e-02
           4      1.191566e+00      1.211533e+00      4.246363e-02
           5      1.196577e+00      1.208542e+00      3.407610e-02
           6      1.271159e+00      1.218978e+00      2.995224e-02
           7      1.118165e+00      1.204576e+00      2.892927e-02
           8      1.264938e+00      1.212121e+00      2.627865e-02
           9      1.308918e+00      1.222876e+00      2.546478e-02
          10      1.189748e+00      1.219564e+00      2.313278e-02
          11      1.265417e+00      1.223732e+00      2.140208e-02
          12      1.270202e+00      1.227605e+00      1.996584e-02
          13      1.155169e+00      1.222033e+00      1.919175e-02
          14      1.228813e+00      1.222517e+00      1.782702e-02
          15      1.241939e+00      1.223812e+00      1.668551e-02
          16      1.181267e+00      1.221153e+00      1.585313e-02
          17      1.181158e+00      1.218800e+00      1.509415e-02
          18      1.148382e+00      1.214888e+00      1.475385e-02
          19      1.171205e+00      1.212589e+00      1.415534e-02
          20      1.153956e+00      1.209657e+00      1.374780e-02
          21      1.173632e+00      1.207942e+00      1.319974e-02
          22      1.210938e+00      1.208078e+00      1.260046e-02
          23      1.255521e+00      1.210141e+00      1.222029e-02
          24      1.153571e+00      1.207784e+00      1.193626e-02
          25      1.133625e+00      1.204817e+00      1.182165e-02
          26      1.251755e+00      1.206623e+00      1.150399e-02
          27      1.079093e+00      1.201899e+00      1.200848e-02
          28      1.204329e+00      1.201986e+00      1.157992e-02
          29      1.175428e+00      1.201070e+00      1.121677e-02
          30      1.310328e+00      1.204712e+00      1.141882e-02
          31      1.164328e+00      1.203409e+00      1.112453e-02
          32      1.083385e+00      1.199659e+00      1.139166e-02
          33      1.306309e+00      1.202891e+00      1.149575e-02
          34      1.169309e+00      1.201903e+00      1.119999e-02
          35      1.282257e+00      1.204199e+00      1.111281e-02
          36      1.191082e+00      1.203834e+00      1.081009e-02
          37      1.180990e+00      1.203217e+00      1.053554e-02
          38      1.222890e+00      1.203735e+00      1.027100e-02
          39      1.206553e+00      1.203807e+00      1.000790e-02
          40      1.151226e+00      1.202492e+00      9.843655e-03
          41      1.247840e+00      1.203598e+00      9.665505e-03
          42      1.292885e+00      1.205724e+00      9.666334e-03
          43      1.236966e+00      1.206451e+00      9.468801e-03
          44      1.301563e+00      1.208612e+00      9.497139e-03
          45      1.216483e+00      1.208787e+00      9.287701e-03
          46      1.196679e+00      1.208524e+00      9.089524e-03
          47      1.315508e+00      1.210800e+00      9.176723e-03
          48      1.140664e+00      1.209339e+00      9.101125e-03
          49      1.218397e+00      1.209524e+00      8.917265e-03
          50      1.321158e+00      1.211757e+00      9.014094e-03
