#     BLOCK:      ACTUAL_X:        X_AVE:          ERROR:
           1     -3.837875e+00     -3.837875e+00      0.000000e+00
           2     -3.809631e+00     -3.823753e+00      9.985836e-03
           3     -3.798904e+00     -3.815470e+00      9.489885e-03
           4     -3.816593e+00     -3.815751e+00      7.121564e-03
           5     -3.823697e+00     -3.817340e+00      5.871882e-03
           6     -3.808846e+00     -3.815924e+00      5.061020e-03
           7     -3.838469e+00     -3.819145e+00      5.263982e-03
           8     -3.811628e+00     -3.818205e+00      4.689105e-03
           9     -3.801514e+00     -3.816351e+00      4.519999e-03
          10     -3.820578e+00     -3.816774e+00      4.087718e-03
          11     -3.809140e+00     -3.816080e+00      3.774547e-03
          12     -3.805600e+00     -3.815206e+00      3.559592e-03
          13     -3.830608e+00     -3.816391e+00      3.477358e-03
          14     -3.808266e+00     -3.815811e+00      3.277044e-03
          15     -3.811611e+00     -3.815531e+00      3.070513e-03
          16     -3.820002e+00     -3.815810e+00      2.891293e-03
          17     -3.823849e+00     -3.816283e+00      2.759611e-03
          18     -3.828732e+00     -3.816975e+00      2.691568e-03
          19     -3.827414e+00     -3.817524e+00      2.605384e-03
          20     -3.826712e+00     -3.817983e+00      2.515289e-03
          21     -3.824294e+00     -3.818284e+00      2.413396e-03
          22     -3.812641e+00     -3.818027e+00      2.317286e-03
          23     -3.812796e+00     -3.817800e+00      2.227669e-03
          24     -3.828207e+00     -3.818234e+00      2.176640e-03
          25     -3.828880e+00     -3.818659e+00      2.130828e-03
          26     -3.807633e+00     -3.818235e+00      2.090650e-03
          27     -3.840589e+00     -3.819063e+00      2.170969e-03
          28     -3.818787e+00     -3.819053e+00      2.093457e-03
          29     -3.816592e+00     -3.818969e+00      2.022989e-03
          30     -3.800265e+00     -3.818345e+00      2.049377e-03
          31     -3.829433e+00     -3.818703e+00      2.014238e-03
          32     -3.840177e+00     -3.819374e+00      2.060049e-03
          33     -3.800946e+00     -3.818815e+00      2.071928e-03
          34     -3.822457e+00     -3.818923e+00      2.013755e-03
          35     -3.808720e+00     -3.818631e+00      1.977207e-03
          36     -3.819171e+00     -3.818646e+00      1.922341e-03
          37     -3.819908e+00     -3.818680e+00      1.870689e-03
          38     -3.819373e+00     -3.818698e+00      1.821549e-03
          39     -3.823308e+00     -3.818817e+00      1.778672e-03
          40     -3.827923e+00     -3.819044e+00      1.748713e-03
          41     -3.809671e+00     -3.818816e+00      1.720941e-03
          42     -3.801999e+00     -3.818415e+00      1.725915e-03
          43     -3.814330e+00     -3.818320e+00      1.688390e-03
          44     -3.798982e+00     -3.817881e+00      1.706264e-03
          45     -3.815089e+00     -3.817819e+00      1.669474e-03
          46     -3.820933e+00     -3.817886e+00      1.634554e-03
          47     -3.791099e+00     -3.817316e+00      1.696233e-03
          48     -3.827842e+00     -3.817536e+00      1.675009e-03
          49     -3.817275e+00     -3.817530e+00      1.640834e-03
          50     -3.797085e+00     -3.817121e+00      1.658186e-03
