# DISTANCE:     AVE_GOFR:        ERROR:
0.000000e+00      0.000000e+00      0.000000e+00
2.306643e-02      0.000000e+00      0.000000e+00
4.613286e-02      0.000000e+00      0.000000e+00
6.919929e-02      0.000000e+00      0.000000e+00
9.226572e-02      0.000000e+00      0.000000e+00
1.153321e-01      0.000000e+00      0.000000e+00
1.383986e-01      0.000000e+00      0.000000e+00
1.614650e-01      0.000000e+00      0.000000e+00
1.845314e-01      0.000000e+00      0.000000e+00
2.075979e-01      0.000000e+00      0.000000e+00
2.306643e-01      0.000000e+00      0.000000e+00
2.537307e-01      0.000000e+00      0.000000e+00
2.767971e-01      0.000000e+00      0.000000e+00
2.998636e-01      0.000000e+00      0.000000e+00
3.229300e-01      0.000000e+00      0.000000e+00
3.459964e-01      0.000000e+00      0.000000e+00
3.690629e-01      0.000000e+00      0.000000e+00
3.921293e-01      0.000000e+00      0.000000e+00
4.151957e-01      0.000000e+00      0.000000e+00
4.382621e-01      0.000000e+00      0.000000e+00
4.613286e-01      0.000000e+00      0.000000e+00
4.843950e-01      0.000000e+00      0.000000e+00
5.074614e-01      0.000000e+00      0.000000e+00
5.305279e-01      0.000000e+00      0.000000e+00
5.535943e-01      0.000000e+00      0.000000e+00
5.766607e-01      0.000000e+00      0.000000e+00
5.997271e-01      0.000000e+00      0.000000e+00
6.227936e-01      0.000000e+00      0.000000e+00
6.458600e-01      0.000000e+00      0.000000e+00
6.689264e-01      0.000000e+00      0.000000e+00
6.919929e-01      0.000000e+00      0.000000e+00
7.150593e-01      0.000000e+00      0.000000e+00
7.381257e-01      0.000000e+00      0.000000e+00
7.611922e-01      0.000000e+00      0.000000e+00
7.842586e-01      0.000000e+00      0.000000e+00
8.073250e-01      0.000000e+00      0.000000e+00
8.303914e-01      0.000000e+00      0.000000e+00
8.534579e-01      7.762012e-07      7.684000e-07
8.765243e-01      6.554005e-05      1.088734e-05
8.995907e-01      3.294382e-03      8.035082e-05
9.226572e-01      4.726256e-02      3.599638e-04
9.457236e-01      2.947098e-01      1.080225e-03
9.687900e-01      1.006397e+00      1.907610e-03
9.918564e-01      2.240935e+00      2.372534e-03
1.014923e+00      3.621391e+00      2.026145e-03
1.037989e+00      4.619836e+00      2.216339e-03
1.061056e+00      4.896040e+00      3.555692e-03
1.084122e+00      4.489838e+00      3.826458e-03
1.107189e+00      3.660321e+00      2.822223e-03
1.130255e+00      2.697901e+00      1.899615e-03
1.153321e+00      1.817008e+00      1.530320e-03
1.176388e+00      1.130497e+00      1.323881e-03
1.199454e+00      6.525400e-01      1.409468e-03
1.222521e+00      3.529351e-01      1.022295e-03
1.245587e+00      1.794363e-01      7.781060e-04
1.268654e+00      8.890597e-02      5.068406e-04
1.291720e+00      4.905522e-02      3.934318e-04
1.314786e+00      4.239634e-02      3.036918e-04
1.337853e+00      6.056629e-02      3.766993e-04
1.360919e+00      1.061411e-01      4.797315e-04
1.383986e+00      1.846565e-01      6.176501e-04
1.407052e+00      3.000818e-01      5.879070e-04
1.430119e+00      4.519745e-01      6.103359e-04
1.453185e+00      6.277944e-01      6.623665e-04
1.476251e+00      7.977376e-01      7.858615e-04
1.499318e+00      9.239374e-01      1.124427e-03
1.522384e+00      9.709548e-01      1.129255e-03
1.545451e+00      9.288019e-01      1.415394e-03
1.568517e+00      8.082946e-01      1.011085e-03
1.591584e+00      6.393849e-01      5.889749e-04
1.614650e+00      4.649749e-01      5.426106e-04
1.637716e+00      3.167082e-01      6.772357e-04
1.660783e+00      2.196647e-01      7.664939e-04
1.683849e+00      1.919095e-01      8.935899e-04
1.706916e+00      2.549856e-01      9.675644e-04
1.729982e+00      4.327708e-01      1.023372e-03
1.753049e+00      7.478152e-01      1.312331e-03
1.776115e+00      1.196568e+00      1.071212e-03
1.799181e+00      1.726776e+00      8.027349e-04
1.822248e+00      2.236220e+00      1.268467e-03
1.845314e+00      2.599328e+00      1.950339e-03
1.868381e+00      2.716901e+00      2.504655e-03
1.891447e+00      2.559782e+00      2.020677e-03
1.914514e+00      2.181381e+00      1.424412e-03
1.937580e+00      1.690185e+00      9.105687e-04
1.960646e+00      1.200291e+00      9.706113e-04
1.983713e+00      8.013432e-01      1.065560e-03
2.006779e+00      5.403762e-01      1.247482e-03
2.029846e+00      4.329640e-01      1.140407e-03
2.052912e+00      4.607407e-01      1.019323e-03
2.075979e+00      5.860115e-01      7.339604e-04
2.099045e+00      7.572470e-01      4.527040e-04
2.122111e+00      9.172956e-01      5.802122e-04
2.145178e+00      1.015417e+00      1.002415e-03
2.168244e+00      1.024045e+00      8.543435e-04
2.191311e+00      9.210845e-01      7.725048e-04
2.214377e+00      7.810565e-01      5.120657e-04
2.237444e+00      6.537529e-01      6.776195e-04
2.260510e+00      5.714316e-01      1.020423e-03
2.283576e+00      5.723506e-01      1.130582e-03
