#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -7.545886e+00     -7.545886e+00      0.000000e+00
           2     -7.542147e+00     -7.544017e+00      1.322224e-03
           3     -7.535351e+00     -7.541128e+00      2.517730e-03
           4     -7.543773e+00     -7.541789e+00      1.973218e-03
           5     -7.537849e+00     -7.541001e+00      1.728778e-03
           6     -7.556356e+00     -7.543560e+00      2.744612e-03
           7     -7.553310e+00     -7.544953e+00      2.682769e-03
           8     -7.534956e+00     -7.543704e+00      2.622366e-03
           9     -7.544033e+00     -7.543740e+00      2.331247e-03
          10     -7.549180e+00     -7.544284e+00      2.160654e-03
          11     -7.548492e+00     -7.544667e+00      1.997801e-03
          12     -7.550265e+00     -7.545133e+00      1.884997e-03
          13     -7.542549e+00     -7.544934e+00      1.750444e-03
          14     -7.546392e+00     -7.545039e+00      1.628507e-03
          15     -7.545046e+00     -7.545039e+00      1.519940e-03
          16     -7.559109e+00     -7.545918e+00      1.659946e-03
          17     -7.559842e+00     -7.546737e+00      1.752743e-03
          18     -7.537383e+00     -7.546218e+00      1.730691e-03
          19     -7.540901e+00     -7.545938e+00      1.662072e-03
          20     -7.554124e+00     -7.546347e+00      1.628590e-03
          21     -7.549941e+00     -7.546518e+00      1.560002e-03
          22     -7.549613e+00     -7.546659e+00      1.495421e-03
          23     -7.546614e+00     -7.546657e+00      1.430404e-03
          24     -7.542176e+00     -7.546470e+00      1.382937e-03
          25     -7.553407e+00     -7.546748e+00      1.355168e-03
          26     -7.539780e+00     -7.546480e+00      1.329282e-03
          27     -7.546163e+00     -7.546468e+00      1.280102e-03
          28     -7.541722e+00     -7.546298e+00      1.245556e-03
          29     -7.539543e+00     -7.546066e+00      1.224197e-03
          30     -7.535963e+00     -7.545729e+00      1.228831e-03
          31     -7.554698e+00     -7.546018e+00      1.222778e-03
          32     -7.555105e+00     -7.546302e+00      1.217091e-03
          33     -7.539595e+00     -7.546099e+00      1.197061e-03
          34     -7.555948e+00     -7.546389e+00      1.196392e-03
          35     -7.538688e+00     -7.546168e+00      1.182267e-03
          36     -7.555630e+00     -7.546431e+00      1.178274e-03
          37     -7.557601e+00     -7.546733e+00      1.184471e-03
          38     -7.529200e+00     -7.546272e+00      1.239915e-03
          39     -7.544984e+00     -7.546239e+00      1.208562e-03
          40     -7.556825e+00     -7.546503e+00      1.206977e-03
          41     -7.566460e+00     -7.546990e+00      1.271903e-03
          42     -7.538398e+00     -7.546786e+00      1.257965e-03
          43     -7.542192e+00     -7.546679e+00      1.233238e-03
          44     -7.552140e+00     -7.546803e+00      1.211441e-03
          45     -7.543626e+00     -7.546732e+00      1.186575e-03
          46     -7.553797e+00     -7.546886e+00      1.170677e-03
          47     -7.541355e+00     -7.546768e+00      1.151668e-03
          48     -7.560516e+00     -7.547055e+00      1.162743e-03
          49     -7.535870e+00     -7.546826e+00      1.161204e-03
          50     -7.535862e+00     -7.546607e+00      1.158501e-03
