#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1      7.773839e+00      7.773839e+00      0.000000e+00
           2      7.793513e+00      7.783676e+00      6.955846e-03
           3      7.829737e+00      7.799030e+00      1.336627e-02
           4      7.782390e+00      7.794870e+00      1.065240e-02
           5      7.813472e+00      7.798590e+00      9.148598e-03
           6      7.711825e+00      7.784129e+00      1.524429e-02
           7      7.726070e+00      7.775835e+00      1.515588e-02
           8      7.832242e+00      7.782886e+00      1.481098e-02
           9      7.781703e+00      7.782755e+00      1.316589e-02
          10      7.750302e+00      7.779509e+00      1.224273e-02
          11      7.753894e+00      7.777181e+00      1.134905e-02
          12      7.742927e+00      7.774326e+00      1.075628e-02
          13      7.788141e+00      7.775389e+00      9.981234e-03
          14      7.764082e+00      7.774581e+00      9.300906e-03
          15      7.774414e+00      7.774570e+00      8.680852e-03
          16      7.697074e+00      7.769727e+00      9.392824e-03
          17      7.691953e+00      7.765152e+00      9.891905e-03
          18      7.811790e+00      7.767743e+00      9.675737e-03
          19      7.794852e+00      7.769169e+00      9.271092e-03
          20      7.722360e+00      7.766829e+00      9.098167e-03
          21      7.747112e+00      7.765890e+00      8.713231e-03
          22      7.752339e+00      7.765274e+00      8.338918e-03
          23      7.764883e+00      7.765257e+00      7.976374e-03
          24      7.791062e+00      7.766332e+00      7.716150e-03
          25      7.725306e+00      7.764691e+00      7.580002e-03
          26      7.801853e+00      7.766121e+00      7.421996e-03
          27      7.770931e+00      7.766299e+00      7.149245e-03
          28      7.796306e+00      7.767370e+00      6.973779e-03
          29      7.804420e+00      7.768648e+00      6.849325e-03
          30      7.820956e+00      7.770392e+00      6.839345e-03
          31      7.718898e+00      7.768731e+00      6.817451e-03
          32      7.717743e+00      7.767137e+00      6.788051e-03
          33      7.807242e+00      7.768352e+00      6.690258e-03
          34      7.711599e+00      7.766683e+00      6.698487e-03
          35      7.806898e+00      7.767832e+00      6.604909e-03
          36      7.719376e+00      7.766486e+00      6.557155e-03
          37      7.706060e+00      7.764853e+00      6.580167e-03
          38      7.859497e+00      7.767344e+00      6.862196e-03
          39      7.771730e+00      7.767456e+00      6.687164e-03
          40      7.711042e+00      7.766046e+00      6.667050e-03
          41      7.654932e+00      7.763336e+00      7.033716e-03
          42      7.810288e+00      7.764454e+00      6.954518e-03
          43      7.789072e+00      7.765026e+00      6.816309e-03
          44      7.738906e+00      7.764433e+00      6.687194e-03
          45      7.781855e+00      7.764820e+00      6.549788e-03
          46      7.724480e+00      7.763943e+00      6.465844e-03
          47      7.794296e+00      7.764589e+00      6.360443e-03
          48      7.687671e+00      7.762986e+00      6.426625e-03
          49      7.824755e+00      7.764247e+00      6.417911e-03
          50      7.823111e+00      7.765424e+00      6.396621e-03
