#     BLOCK:      ACTUAL_X:        X_AVE:          ERROR:
           1     -6.345886e+00     -6.345886e+00      0.000000e+00
           2     -6.342147e+00     -6.344017e+00      1.322224e-03
           3     -6.335351e+00     -6.341128e+00      2.517730e-03
           4     -6.343773e+00     -6.341789e+00      1.973218e-03
           5     -6.337849e+00     -6.341001e+00      1.728778e-03
           6     -6.356356e+00     -6.343560e+00      2.744612e-03
           7     -6.353310e+00     -6.344953e+00      2.682769e-03
           8     -6.334956e+00     -6.343704e+00      2.622366e-03
           9     -6.344033e+00     -6.343740e+00      2.331247e-03
          10     -6.349180e+00     -6.344284e+00      2.160654e-03
          11     -6.348492e+00     -6.344667e+00      1.997801e-03
          12     -6.350265e+00     -6.345133e+00      1.884997e-03
          13     -6.342549e+00     -6.344934e+00      1.750444e-03
          14     -6.346392e+00     -6.345039e+00      1.628507e-03
          15     -6.345046e+00     -6.345039e+00      1.519940e-03
          16     -6.359109e+00     -6.345918e+00      1.659946e-03
          17     -6.359842e+00     -6.346737e+00      1.752743e-03
          18     -6.337383e+00     -6.346218e+00      1.730691e-03
          19     -6.340901e+00     -6.345938e+00      1.662072e-03
          20     -6.354124e+00     -6.346347e+00      1.628590e-03
          21     -6.349941e+00     -6.346518e+00      1.560002e-03
          22     -6.349613e+00     -6.346659e+00      1.495421e-03
          23     -6.346614e+00     -6.346657e+00      1.430404e-03
          24     -6.342176e+00     -6.346470e+00      1.382937e-03
          25     -6.353407e+00     -6.346748e+00      1.355168e-03
          26     -6.339780e+00     -6.346480e+00      1.329282e-03
          27     -6.346163e+00     -6.346468e+00      1.280102e-03
          28     -6.341722e+00     -6.346298e+00      1.245556e-03
          29     -6.339543e+00     -6.346066e+00      1.224197e-03
          30     -6.335963e+00     -6.345729e+00      1.228831e-03
          31     -6.354698e+00     -6.346018e+00      1.222778e-03
          32     -6.355105e+00     -6.346302e+00      1.217091e-03
          33     -6.339595e+00     -6.346099e+00      1.197061e-03
          34     -6.355948e+00     -6.346389e+00      1.196392e-03
          35     -6.338688e+00     -6.346168e+00      1.182267e-03
          36     -6.355630e+00     -6.346431e+00      1.178274e-03
          37     -6.357601e+00     -6.346733e+00      1.184471e-03
          38     -6.329200e+00     -6.346272e+00      1.239915e-03
          39     -6.344984e+00     -6.346239e+00      1.208562e-03
          40     -6.356825e+00     -6.346503e+00      1.206977e-03
          41     -6.366460e+00     -6.346990e+00      1.271903e-03
          42     -6.338398e+00     -6.346786e+00      1.257965e-03
          43     -6.342192e+00     -6.346679e+00      1.233238e-03
          44     -6.352140e+00     -6.346803e+00      1.211441e-03
          45     -6.343626e+00     -6.346732e+00      1.186575e-03
          46     -6.353797e+00     -6.346886e+00      1.170677e-03
          47     -6.341355e+00     -6.346768e+00      1.151668e-03
          48     -6.360516e+00     -6.347055e+00      1.162743e-03
          49     -6.335870e+00     -6.346826e+00      1.161204e-03
          50     -6.335862e+00     -6.346607e+00      1.158501e-03
