# DISTANCE:     AVE_GOFR:        ERROR:
0.000000e+00      0.000000e+00      0.000000e+00
2.306643e-02      0.000000e+00      0.000000e+00
4.613286e-02      0.000000e+00      0.000000e+00
6.919929e-02      0.000000e+00      0.000000e+00
9.226572e-02      0.000000e+00      0.000000e+00
1.153321e-01      0.000000e+00      0.000000e+00
1.383986e-01      0.000000e+00      0.000000e+00
1.614650e-01      0.000000e+00      0.000000e+00
1.845314e-01      0.000000e+00      0.000000e+00
2.075979e-01      0.000000e+00      0.000000e+00
2.306643e-01      0.000000e+00      0.000000e+00
2.537307e-01      0.000000e+00      0.000000e+00
2.767971e-01      0.000000e+00      0.000000e+00
2.998636e-01      0.000000e+00      0.000000e+00
3.229300e-01      0.000000e+00      0.000000e+00
3.459964e-01      0.000000e+00      0.000000e+00
3.690629e-01      0.000000e+00      0.000000e+00
3.921293e-01      0.000000e+00      0.000000e+00
4.151957e-01      0.000000e+00      0.000000e+00
4.382621e-01      0.000000e+00      0.000000e+00
4.613286e-01      0.000000e+00      0.000000e+00
4.843950e-01      0.000000e+00      0.000000e+00
5.074614e-01      0.000000e+00      0.000000e+00
5.305279e-01      0.000000e+00      0.000000e+00
5.535943e-01      0.000000e+00      0.000000e+00
5.766607e-01      0.000000e+00      0.000000e+00
5.997271e-01      0.000000e+00      0.000000e+00
6.227936e-01      0.000000e+00      0.000000e+00
6.458600e-01      0.000000e+00      0.000000e+00
6.689264e-01      0.000000e+00      0.000000e+00
6.919929e-01      0.000000e+00      0.000000e+00
7.150593e-01      0.000000e+00      0.000000e+00
7.381257e-01      0.000000e+00      0.000000e+00
7.611922e-01      0.000000e+00      0.000000e+00
7.842586e-01      0.000000e+00      0.000000e+00
8.073250e-01      0.000000e+00      0.000000e+00
8.303914e-01      0.000000e+00      0.000000e+00
8.534579e-01      0.000000e+00      0.000000e+00
8.765243e-01      7.364050e-05      4.349156e-05
8.995907e-01      3.829570e-03      4.392274e-04
9.226572e-01      5.045085e-02      1.865652e-03
9.457236e-01      3.155172e-01      3.315046e-03
9.687900e-01      1.045426e+00      5.708095e-03
9.918564e-01      2.290852e+00      1.000182e-02
1.014923e+00      3.650965e+00      1.290004e-02
1.037989e+00      4.571682e+00      1.141855e-02
1.061056e+00      4.828219e+00      1.426956e-02
1.084122e+00      4.442641e+00      1.314864e-02
1.107189e+00      3.596830e+00      1.472123e-02
1.130255e+00      2.678988e+00      1.036101e-02
1.153321e+00      1.826016e+00      8.059116e-03
1.176388e+00      1.160050e+00      6.601409e-03
1.199454e+00      6.819839e-01      4.978631e-03
1.222521e+00      3.721343e-01      4.423577e-03
1.245587e+00      1.868179e-01      2.953670e-03
1.268654e+00      9.449520e-02      2.667223e-03
1.291720e+00      5.312298e-02      1.966098e-03
1.314786e+00      4.424058e-02      1.973696e-03
1.337853e+00      6.250144e-02      2.089038e-03
1.360919e+00      1.137350e-01      2.636147e-03
1.383986e+00      1.938632e-01      2.479904e-03
1.407052e+00      3.045093e-01      3.002543e-03
1.430119e+00      4.631366e-01      3.918783e-03
1.453185e+00      6.301875e-01      3.494676e-03
1.476251e+00      7.884881e-01      4.289152e-03
1.499318e+00      9.048871e-01      4.425401e-03
1.522384e+00      9.502024e-01      6.834433e-03
1.545451e+00      9.136579e-01      4.910165e-03
1.568517e+00      8.000992e-01      4.908134e-03
1.591584e+00      6.432981e-01      3.624309e-03
1.614650e+00      4.702266e-01      2.911575e-03
1.637716e+00      3.227259e-01      2.568220e-03
1.660783e+00      2.299383e-01      2.571153e-03
1.683849e+00      2.032364e-01      3.069342e-03
1.706916e+00      2.715413e-01      4.786592e-03
1.729982e+00      4.532255e-01      4.726507e-03
1.753049e+00      7.768540e-01      4.921648e-03
1.776115e+00      1.213377e+00      5.623937e-03
1.799181e+00      1.734379e+00      6.278578e-03
1.822248e+00      2.215836e+00      6.893857e-03
1.845314e+00      2.558782e+00      9.102985e-03
1.868381e+00      2.673336e+00      9.968555e-03
1.891447e+00      2.513875e+00      7.859112e-03
1.914514e+00      2.161290e+00      8.186858e-03
1.937580e+00      1.687667e+00      4.403489e-03
1.960646e+00      1.217961e+00      4.303512e-03
1.983713e+00      8.212187e-01      4.422661e-03
2.006779e+00      5.648456e-01      5.169508e-03
2.029846e+00      4.561539e-01      5.068669e-03
2.052912e+00      4.772779e-01      4.961137e-03
2.075979e+00      5.991662e-01      3.568995e-03
2.099045e+00      7.558515e-01      3.207165e-03
2.122111e+00      9.019933e-01      3.583736e-03
2.145178e+00      9.905743e-01      3.736467e-03
2.168244e+00      9.997784e-01      4.160023e-03
2.191311e+00      9.226081e-01      4.009656e-03
2.214377e+00      7.924221e-01      3.293023e-03
2.237444e+00      6.623338e-01      2.835769e-03
2.260510e+00      5.895350e-01      3.604465e-03
2.283576e+00      5.947408e-01      4.510699e-03
