#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1      7.976967e+00      7.976967e+00      0.000000e+00
           2      7.936533e+00      7.956750e+00      1.429581e-02
           3      7.926443e+00      7.946648e+00      1.260429e-02
           4      7.930949e+00      7.942723e+00      1.004569e-02
           5      7.893815e+00      7.932941e+00      1.187985e-02
           6      7.941044e+00      7.934292e+00      9.976335e-03
           7      7.941250e+00      7.935286e+00      8.600519e-03
           8      7.891801e+00      7.929850e+00      9.082093e-03
           9      7.921299e+00      7.928900e+00      8.122519e-03
          10      7.887006e+00      7.924711e+00      8.320825e-03
          11      7.916126e+00      7.923930e+00      7.600894e-03
          12      7.898036e+00      7.921772e+00      7.267343e-03
          13      7.914362e+00      7.921202e+00      6.730633e-03
          14      7.922570e+00      7.921300e+00      6.250582e-03
          15      7.913171e+00      7.920758e+00      5.857323e-03
          16      7.941915e+00      7.922080e+00      5.638519e-03
          17      7.927583e+00      7.922404e+00      5.316124e-03
          18      7.883204e+00      7.920226e+00      5.448621e-03
          19      7.919495e+00      7.920188e+00      5.161988e-03
          20      7.914189e+00      7.919888e+00      4.912596e-03
          21      7.886739e+00      7.918309e+00      4.925741e-03
          22      7.974319e+00      7.920855e+00      5.319237e-03
          23      7.968895e+00      7.922944e+00      5.482729e-03
          24      7.945632e+00      7.923889e+00      5.335158e-03
          25      7.891348e+00      7.922588e+00      5.278148e-03
          26      8.006920e+00      7.925831e+00      5.989408e-03
          27      7.909320e+00      7.925220e+00      5.798714e-03
          28      7.927263e+00      7.925293e+00      5.592076e-03
          29      7.968707e+00      7.926790e+00      5.596046e-03
          30      7.826018e+00      7.923431e+00      6.337985e-03
          31      8.011953e+00      7.926286e+00      6.746211e-03
          32      7.862443e+00      7.924291e+00      6.824027e-03
          33      7.956793e+00      7.925276e+00      6.687938e-03
          34      7.958371e+00      7.926249e+00      6.561685e-03
          35      7.877700e+00      7.924862e+00      6.519174e-03
          36      7.921397e+00      7.924766e+00      6.338796e-03
          37      7.971268e+00      7.926023e+00      6.290839e-03
          38      7.943271e+00      7.926477e+00      6.141643e-03
          39      7.928736e+00      7.926535e+00      5.984438e-03
          40      7.951170e+00      7.927151e+00      5.866434e-03
          41      7.893802e+00      7.926337e+00      5.779464e-03
          42      8.023620e+00      7.928653e+00      6.088342e-03
          43      7.813917e+00      7.925985e+00      6.505232e-03
          44      7.945275e+00      7.926424e+00      6.372142e-03
          45      7.948666e+00      7.926918e+00      6.249679e-03
          46      7.832183e+00      7.924858e+00      6.444215e-03
          47      7.974619e+00      7.925917e+00      6.393482e-03
          48      7.962653e+00      7.926682e+00      6.305926e-03
          49      7.868830e+00      7.925502e+00      6.286788e-03
          50      7.979166e+00      7.926575e+00      6.251996e-03
