#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      7.974076e-01      7.974076e-01      0.000000e+00
           2      8.047036e-01      8.010556e-01      2.579545e-03
           3      8.050765e-01      8.023959e-01      2.038375e-03
           4      8.055260e-01      8.031784e-01      1.672250e-03
           5      8.096957e-01      8.044819e-01      1.774516e-03
           6      8.043172e-01      8.044544e-01      1.478976e-03
           7      8.011829e-01      8.039871e-01      1.339502e-03
           8      8.064722e-01      8.042977e-01      1.207549e-03
           9      8.039631e-01      8.042605e-01      1.073949e-03
          10      8.097168e-01      8.048062e-01      1.096433e-03
          11      8.027621e-01      8.046203e-01      1.012382e-03
          12      8.090729e-01      8.049914e-01      9.936910e-04
          13      8.059635e-01      8.050662e-01      9.200628e-04
          14      8.056238e-01      8.051060e-01      8.552057e-04
          15      8.073962e-01      8.052587e-01      8.117069e-04
          16      8.001408e-01      8.049388e-01      8.215864e-04
          17      8.041256e-01      8.048910e-01      7.746490e-04
          18      8.094120e-01      8.051421e-01      7.712582e-04
          19      8.059411e-01      8.051842e-01      7.318110e-04
          20      8.048889e-01      8.051694e-01      6.953694e-04
          21      8.116113e-01      8.054762e-01      7.267742e-04
          22      7.985165e-01      8.051598e-01      7.594746e-04
          23      7.980792e-01      8.048520e-01      7.863768e-04
          24      8.035990e-01      8.047998e-01      7.553422e-04
          25      8.082845e-01      8.049392e-01      7.378776e-04
          26      7.947603e-01      8.045477e-01      8.066964e-04
          27      8.109081e-01      8.047832e-01      8.104846e-04
          28      8.048502e-01      8.047856e-01      7.815423e-04
          29      7.991801e-01      8.045923e-01      7.781283e-04
          30      8.153883e-01      8.049522e-01      8.312509e-04
          31      7.936544e-01      8.045878e-01      8.807116e-04
          32      8.131847e-01      8.048564e-01      8.932252e-04
          33      8.014506e-01      8.047532e-01      8.720996e-04
          34      8.001354e-01      8.046174e-01      8.569601e-04
          35      8.103755e-01      8.047819e-01      8.481202e-04
          36      8.057593e-01      8.048091e-01      8.249957e-04
          37      8.015869e-01      8.047220e-01      8.072817e-04
          38      8.036341e-01      8.046933e-01      7.865449e-04
          39      8.078628e-01      8.047746e-01      7.705641e-04
          40      8.036033e-01      8.047453e-01      7.518562e-04
          41      8.126589e-01      8.049383e-01      7.578884e-04
          42      7.926963e-01      8.046469e-01      7.939168e-04
          43      8.196736e-01      8.049963e-01      8.488877e-04
          44      8.002615e-01      8.048887e-01      8.363876e-04
          45      8.010377e-01      8.048031e-01      8.221676e-04
          46      8.155794e-01      8.050374e-01      8.370052e-04
          47      7.985098e-01      8.048985e-01      8.306394e-04
          48      7.988035e-01      8.047715e-01      8.229829e-04
          49      8.132658e-01      8.049449e-01      8.242427e-04
          50      7.994855e-01      8.048357e-01      8.149579e-04
